MarkerName	Allele1	Allele2	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
JCV	a	p	-0.0373	0.0392	0.3419	---	0.0	0.163	2	0.9219
VZV	a	p	0.0471	0.0446	0.2901	+-+	0.0	0.979	2	0.613
EBV_EBNA	a	p	0.0636	0.0415	0.1253	+++	0.0	0.198	2	0.9056
HHV7	a	p	-0.0609	0.0389	0.1171	---	0.0	1.292	2	0.524
MCV	a	p	0.0189	0.0400	0.6356	--+	0.0	1.225	2	0.5419
EBV_p18	a	p	-0.0018	0.0403	0.9641	--+	0.0	0.189	2	0.9099
EBV_EAD	a	p	-0.0755	0.0397	0.05739	---	0.0	0.568	2	0.7528
HSV1	a	p	0.0994	0.0454	0.02842	+++	0.0	0.801	2	0.67
BKV	a	p	0.0405	0.0400	0.3117	+++	0.0	0.140	2	0.9326
EBV_ZEBRA	a	p	-0.0490	0.0408	0.2301	---	0.0	0.086	2	0.9579
