Sample	Family	Gender	Population	Population Description	Super Population	Super Population Description
HG00096	HG00096	male	GBR	British in England and Scotland	EUR	European
HG00097	HG00097	female	GBR	British in England and Scotland	EUR	European
HG00098	HG00098	male	GBR	British in England and Scotland	EUR	European
HG00099	HG00099	female	GBR	British in England and Scotland	EUR	European
HG00100	HG00100	female	GBR	British in England and Scotland	EUR	European
HG00101	HG00101	male	GBR	British in England and Scotland	EUR	European
HG00102	HG00102	female	GBR	British in England and Scotland	EUR	European
HG00103	HG00103	male	GBR	British in England and Scotland	EUR	European
HG00104	HG00104	female	GBR	British in England and Scotland	EUR	European
HG00105	HG00105	male	GBR	British in England and Scotland	EUR	European
HG00106	HG00106	female	GBR	British in England and Scotland	EUR	European
HG00107	HG00107	male	GBR	British in England and Scotland	EUR	European
HG00108	HG00108	male	GBR	British in England and Scotland	EUR	European
HG00109	HG00109	male	GBR	British in England and Scotland	EUR	European
HG00110	HG00110	female	GBR	British in England and Scotland	EUR	European
HG00111	HG00111	female	GBR	British in England and Scotland	EUR	European
HG00112	HG00112	male	GBR	British in England and Scotland	EUR	European
HG00113	HG00113	male	GBR	British in England and Scotland	EUR	European
HG00114	HG00114	male	GBR	British in England and Scotland	EUR	European
HG00115	HG00115	male	GBR	British in England and Scotland	EUR	European
HG00116	HG00116	male	GBR	British in England and Scotland	EUR	European
HG00117	HG00117	male	GBR	British in England and Scotland	EUR	European
HG00118	HG00118	female	GBR	British in England and Scotland	EUR	European
HG00119	HG00119	male	GBR	British in England and Scotland	EUR	European
HG00120	HG00120	female	GBR	British in England and Scotland	EUR	European
HG00121	HG00121	female	GBR	British in England and Scotland	EUR	European
HG00122	HG00122	female	GBR	British in England and Scotland	EUR	European
HG00123	HG00123	female	GBR	British in England and Scotland	EUR	European
HG00124	HG00124	female	GBR	British in England and Scotland	EUR	European
HG00125	HG00125	female	GBR	British in England and Scotland	EUR	European
HG00126	HG00126	male	GBR	British in England and Scotland	EUR	European
HG00127	HG00127	female	GBR	British in England and Scotland	EUR	European
HG00128	HG00128	female	GBR	British in England and Scotland	EUR	European
HG00129	HG00129	male	GBR	British in England and Scotland	EUR	European
HG00130	HG00130	female	GBR	British in England and Scotland	EUR	European
HG00131	HG00131	male	GBR	British in England and Scotland	EUR	European
HG00132	HG00132	female	GBR	British in England and Scotland	EUR	European
HG00133	HG00133	female	GBR	British in England and Scotland	EUR	European
HG00134	HG00134	female	GBR	British in England and Scotland	EUR	European
HG00135	HG00135	female	GBR	British in England and Scotland	EUR	European
HG00136	HG00136	male	GBR	British in England and Scotland	EUR	European
HG00137	HG00137	female	GBR	British in England and Scotland	EUR	European
HG00138	HG00138	male	GBR	British in England and Scotland	EUR	European
HG00139	HG00139	male	GBR	British in England and Scotland	EUR	European
HG00140	HG00140	male	GBR	British in England and Scotland	EUR	European
HG00141	HG00141	male	GBR	British in England and Scotland	EUR	European
HG00142	HG00142	male	GBR	British in England and Scotland	EUR	European
HG00143	HG00143	male	GBR	British in England and Scotland	EUR	European
HG00144	GBR001	female	GBR	British in England and Scotland	EUR	European
HG00145	HG00145	male	GBR	British in England and Scotland	EUR	European
HG00146	GBR002	female	GBR	British in England and Scotland	EUR	European
HG00147	GBR002a	female	GBR	British in England and Scotland	EUR	European
HG00148	HG00148	male	GBR	British in England and Scotland	EUR	European
HG00149	HG00149	male	GBR	British in England and Scotland	EUR	European
HG00150	HG00150	female	GBR	British in England and Scotland	EUR	European
HG00151	HG00151	male	GBR	British in England and Scotland	EUR	European
HG00152	HG00152	male	GBR	British in England and Scotland	EUR	European
HG00153	GBR003	female	GBR	British in England and Scotland	EUR	European
