  ,01,01,01,02,02,02,03,03,03,04,04,04,05,05,05,06,06,06,07,07,07,08,08,08,09,09,09,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45,46,46,46,47,47,47,48,48,48,49,49,49,50,50,50,51,51,51,52,52,52,53,53,53,54,54,54,55,55,55,56,56,56,57,57,57,58,58,58,59,59,59,60,60,60,61,61,61,62,62,62,63,63,63,64,64,64,65,65,65,66,66,66,67,67,67,68,68,68,69,69,69,70,70,70,71,71,71,72,72,72,73,73,73,74,74,74,75,75,75,76,76,76,77,77,77
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Trimmer,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3,bbduk1,bbduk2,bbduk3
Raw R1 Read Count,31522661,31522661,31522661,27824106,27824106,27824106,29389743,29389743,29389743,36446888,36446888,36446888,20120494,20120494,20120494,34017506,34017506,34017506,14792281,14792281,14792281,36916304,36916304,36916304,32464980,32464980,32464980,46555681,46555681,46555681,32586612,32586612,32586612,55826324,55826324,55826324,36188732,36188732,36188732,28174144,28174144,28174144,31225745,31225745,31225745,30469461,30469461,30469461,21404933,21404933,21404933,19838377,19838377,19838377,54458527,54458527,54458527,43298123,43298123,43298123,38364553,38364553,38364553,22365589,22365589,22365589,55473750,55473750,55473750,25113453,25113453,25113453,17017722,17017722,17017722,19732368,19732368,19732368,20348007,20348007,20348007,32923227,32923227,32923227,18415440,18415440,18415440,34690247,34690247,34690247,33014047,33014047,33014047,37306907,37306907,37306907,32032421,32032421,32032421,34659952,34659952,34659952,26842261,26842261,26842261,41488673,41488673,41488673,24282521,24282521,24282521,27397429,27397429,27397429,31614938,31614938,31614938,29175027,29175027,29175027,44741241,44741241,44741241,30161076,30161076,30161076,25223690,25223690,25223690,35591481,35591481,35591481,37176447,37176447,37176447,27527516,27527516,27527516,32243599,32243599,32243599,35043816,35043816,35043816,43475895,43475895,43475895,36541239,36541239,36541239,43451565,43451565,43451565,49781101,49781101,49781101,27285426,27285426,27285426,24910057,24910057,24910057,36259334,36259334,36259334,26662014,26662014,26662014,34296474,34296474,34296474,36208671,36208671,36208671,46613138,46613138,46613138,44818686,44818686,44818686,41778138,41778138,41778138,35277497,35277497,35277497,40963857,40963857,40963857,33317935,33317935,33317935,30386857,30386857,30386857,54827801,54827801,54827801,26237719,26237719,26237719,45472688,45472688,45472688,31325189,31325189,31325189,31030361,31030361,31030361,36170484,36170484,36170484,21575157,21575157,21575157,46952953,46952953,46952953,25176679,25176679,25176679,34212687,34212687,34212687,32868518,32868518,32868518,35027046,35027046,35027046
Raw R1 Read Length,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Trimmed Read Count,9345133,26833403,51596245,7488498,22359558,47076929,11451802,33641954,46239219,12763757,38864246,59685985,3814706,11242199,35239037,10117204,30972785,57491858,2136926,6765844,26814726,13543202,41709996,60941394,6125698,19308942,58389628,5395400,17119650,86619984,8653435,28257867,57979447,18783229,60428824,95844737,15560734,49314978,59394971,7987626,26678149,49399378,13101306,42991739,51724994,10980870,36524918,52134754,7322095,25559079,36786636,5943556,19258539,34126812,25444039,80116107,88096298,21923082,67921457,68012022,18314298,59141783,61844761,7705946,25166495,38087985,22120849,68775546,90485571,10549159,35551861,41655069,6722716,20719031,28062899,7895468,24345535,32159672,9107486,27824006,32132054,14557240,45101687,52766330,6306589,19793682,30993991,14606840,44850461,55551257,12632077,39164539,55411007,16159390,51132208,61077136,10082945,31436199,54835132,11075296,35506673,59613227,10534762,33518763,44517352,19033153,60644581,67295452,9150253,27926642,39825853,12009237,36670630,44042147,12551693,38183586,51731134,12102414,38054123,48464629,21660871,66482369,71219870,11585026,35910040,50560305,11391523,35387334,40764921,17195793,54137311,57482760,15101981,46726346,60629051,12509359,38628803,44442663,13766963,42111644,52151366,12429994,39662902,59364437,19156323,60744283,71086372,15658750,48443053,59736659,20334489,63016679,69341476,21023264,65465800,81663405,10778850,33846692,45356074,9438513,29346228,41687691,13749444,43097810,60136926,11953055,36825595,42816697,7346267,23298945,61219150,16656584,51735929,57844940,18230185,56608544,76895315,23810236,73569482,67792715,15023118,46178992,69491446,15177770,46326216,56829310,23309481,71501311,62507913,13745662,44354027,54813002,12544419,38475152,49395384,22617590,70673034,89848474,12444497,39140793,41745558,20079371,63675224,74073738,12427229,38915942,51629506,12375602,38571897,50935273,14225050,43644077,59888773,8810667,27510935,35560060,22143713,69381250,76072756,10279125,32043352,41488336,15600947,48508180,55460297,11951934,37811546,54901291,15206234,48045014,57767768
Trimmed Ave Read Length,28.3516,106.727,65.6403,28.2815,115.929,66.85,28.2122,107.76,66.6357,28.1651,117.012,68.0048,28.142,102.236,65.7965,28.0757,117.862,67.9241,27.9341,104.911,65.8843,28.1737,119.584,68.2524,27.673,115.196,66.1554,28.4521,114.053,66.2019,28.0021,124.092,68.5745,28.1083,125.912,69.7526,28.5052,124.668,71.3208,27.9604,120.384,61.9715,28.0992,121.714,71.8391,27.8998,120.476,65.2783,27.5176,114.877,71.8659,27.9652,115.807,61.418,28.4105,129.016,72.1188,28.4815,129.311,69.7951,28.0804,123.073,70.1417,27.9332,117.746,63.7897,28.2495,119.027,69.3677,27.7895,118.487,71.6063,28.6003,127.504,70.3155,28.5624,121.817,69.422,28.4432,123.911,70.4493,28.508,125.779,70.9427,28.4369,125.517,69.5112,28.3932,121.473,69.6949,28.3183,108.486,67.2714,28.4779,124.542,70.9235,28.3953,111.231,67.584,28.4646,122.859,69.1943,28.081,109.282,68.743,28.3468,121.311,71.3001,28.5528,112.033,67.6367,28.7308,123.293,69.7478,28.6745,107.519,66.8036,28.5572,114.867,68.5625,28.6096,113.587,68.4182,28.669,113.007,67.6835,28.4535,111.437,67.9501,28.5457,117.272,69.3486,28.4852,109.641,67.0629,28.5813,113.673,68.2567,28.4455,98.8905,65.7442,28.3245,104.775,66.5372,28.2206,96.4818,65.0929,28.5241,109.184,67.6686,28.2863,101.862,66.6525,28.4241,108.224,67.3974,28.3391,101.083,66.3919,28.6003,110.729,67.3983,28.4645,114.317,67.9093,28.4799,114.485,64.0942,28.0808,116.318,66.0085,28.5396,116.271,65.0785,28.4881,114.355,67.4064,28.1602,109.772,67.4146,28.556,114.719,66.8136,28.5615,114.866,63.4445,28.5089,124.853,71.9848,28.0395,124.733,66.2586,28.6048,123.299,69.1971,28.5153,125.221,64.8099,28.5894,124.618,70.9863,28.4244,124.669,66.2059,28.5789,125.12,69.8136,28.5725,125.976,64.2554,28.7058,124.017,69.3261,28.3677,108.035,67.034,28.6468,129.253,71.6312,28.5177,110.321,67.5493,28.5889,114.589,68.5279,28.4655,124.934,69.2787,28.4812,114.132,68.7486
STAR Aligned to Transcriptome,488654,1023566,1021578,428037,948785,950417,609928,1336711,1307869,695617,1547749,1535736,253173,615740,619387,549334,1223520,1221633,161724,383300,391715,755438,1709203,1697637,611960,814373,831984,449279,814181,876039,737873,1255116,1256144,1256410,2506584,2490296,919870,2218819,2185592,522904,1329971,1324220,815732,2059068,2030617,780112,2035273,2042938,700240,2093453,2060787,552021,1842989,1800876,1343736,3148178,3082909,1070412,2269927,2244717,1221294,3359918,3282256,646506,1994921,1945306,1292416,3197552,3145984,716717,1974293,1944753,351350,806118,790915,436115,1024812,1008448,518791,1226929,1208534,789070,1814694,1790544,386183,1002823,988164,956647,2666626,2607234,1508610,5142918,4998153,896013,2142426,2104024,585607,1411953,1382669,653413,1602186,1575698,783757,2234430,2169804,1148236,2872108,2811162,494150,1137419,1107543,585924,1302107,1272764,646310,1520296,1455524,630794,1521380,1463925,1034993,2314236,2210992,596759,1437865,1381967,646874,1641228,1582354,804979,1801497,1740885,747614,1637715,1575787,587976,1310758,1256058,737886,1807330,1715049,684697,1641217,1589396,1664046,5054321,4896042,837426,2058990,1973817,1012411,2335631,2211305,1088563,2569915,2468577,628173,1594628,1524988,515219,1286156,1235900,732679,1749434,1696043,635196,1439420,1393999,678752,782513,804632,851436,1917879,1866667,969275,1996036,1942416,1238431,2759593,2665237,740117,1413693,1387544,737969,1631353,1578939,1246438,2878839,2812855,776571,1913518,1895519,656887,1426577,1413943,1190907,2667662,2659177,659963,1553065,1527454,1068593,2456737,2435882,622183,1358357,1347549,598511,1264805,1266006,703296,1510483,1475851,503555,1011475,962406,1032130,2198936,2156809,533597,1241526,1193337,749378,1668799,1602459,624001,1394084,1381582,795108,1860770,1792424
STAR Aligned to Transcriptome %,5.22,3.81,1.97,5.71,4.24,2.01,5.32,3.97,2.82,5.44,3.98,2.57,6.63,5.47,1.75,5.42,3.95,2.12,7.56,5.66,1.46,5.57,4.09,2.78,9.99,4.21,1.42,8.32,4.75,1.01,8.52,4.44,2.16,6.68,4.14,2.59,5.91,4.49,3.67,6.54,4.98,2.68,6.22,4.78,3.92,7.10,5.57,3.91,9.56,8.19,5.60,9.28,9.56,5.27,5.28,3.92,3.49,4.88,3.34,3.30,6.66,5.68,5.30,8.38,7.92,5.10,5.84,4.64,3.47,6.79,5.55,4.66,5.22,3.89,2.81,5.52,4.20,3.13,5.69,4.40,3.76,5.42,4.02,3.39,6.12,5.06,3.18,6.54,5.94,4.69,11.94,13.13,9.02,5.54,4.18,3.44,5.80,4.49,2.52,5.89,4.51,2.64,7.43,6.66,4.87,6.03,4.73,4.17,5.40,4.07,2.78,4.87,3.55,2.88,5.14,3.98,2.81,5.21,3.99,3.02,4.77,3.48,3.10,5.15,4.00,2.73,5.67,4.63,3.88,4.68,3.32,3.02,4.95,3.50,2.59,4.70,3.39,2.82,5.35,4.29,3.28,5.50,4.13,2.67,8.68,8.32,6.88,5.34,4.25,3.30,4.97,3.70,3.18,5.17,3.92,3.02,5.82,4.71,3.36,5.45,4.38,2.96,5.32,4.05,2.82,5.31,3.90,3.25,9.23,3.35,1.31,5.11,3.70,3.22,5.31,3.52,2.52,5.20,3.75,3.93,4.92,3.06,1.99,4.86,3.52,2.77,5.34,4.02,4.49,5.64,4.31,3.45,5.23,3.70,2.86,5.26,3.77,2.95,5.30,3.96,3.65,5.32,3.85,3.28,5.00,3.49,2.61,4.83,3.27,2.48,4.94,3.46,2.46,5.71,3.67,2.70,4.66,3.16,2.83,5.19,3.87,2.87,4.80,3.44,2.88,5.22,3.68,2.51,5.22,3.87,3.10
STAR Aligned to Genome,7312314,24246868,19250329,5800131,20083628,15812889,8948240,31057229,24456449,9975447,35929502,28192390,2951881,9717165,7894849,7887029,28540100,22499969,1645494,5680256,4621917,10520548,38416088,30124766,4825442,16692678,13357233,3814714,12998969,10660164,6787529,25845698,20180568,14612963,55434417,43072474,12140775,46137841,35627055,6012616,24155695,19095158,10000673,40013663,31238330,8321626,32919254,26002483,5457615,23337068,18922027,4506280,17430852,13917519,20002593,75756323,57772245,17354431,64287905,49073046,14186661,55824427,43595348,5910341,23056333,18284307,17188680,64015734,50006101,8030437,33335340,26307006,5263177,19352631,14739383,6159322,22609121,17476740,7158179,26116450,20172629,11425416,42362592,32594732,4926755,18330856,14152318,11428305,41949819,32623002,9904439,36435086,28834003,12623532,47988351,36806277,7889200,28946263,22493599,8717056,32644819,25151045,8154720,31356900,24722671,14863608,57103766,44120967,7139544,25895832,19957647,9389806,34237381,25914720,9802622,35269751,26900095,9423863,35588746,26997094,17025325,62540388,47145804,9086537,33473568,25363025,8936952,32854169,25095355,13433763,51010145,38730976,11871979,43324166,33112533,9763967,36227321,27393729,10756647,39171808,30072462,9585246,36490756,28223901,14796861,56474182,44148876,12227282,45154791,34382999,15869949,58951574,45080478,16477391,61294062,46900309,8390483,31314605,24148603,7322611,27131796,20525012,10675280,39713863,30367617,9316717,34103670,25995022,5830405,20210987,15713923,12894770,48116362,36553158,14311402,52350844,40003010,18691459,69013638,53743973,11770947,42280562,32251534,11859950,43148157,32771273,18379944,67568652,51684502,10668866,41236679,32023436,9823709,35314111,26954624,17710562,65315695,50127321,9661702,36544719,27770046,15716931,59670273,45727416,9612856,36064710,27465708,9663487,35813981,27189315,11088355,40336397,30491867,6859985,25234357,19217549,17353055,65360953,49221841,8019282,29460595,22362630,12132337,45150048,34033520,9325974,34834299,26686764,11849321,44893361,34172978
STAR Aligned to Genome %,78.24,90.36,37.30,77.45,89.82,33.58,78.13,92.31,52.89,78.15,92.44,47.23,77.38,86.43,22.40,77.95,92.14,39.13,77.00,83.95,17.23,77.68,92.10,49.43,78.77,86.45,22.87,70.70,75.93,12.30,78.43,91.46,34.80,77.79,91.73,44.93,78.02,93.55,59.98,75.27,90.54,38.65,76.33,93.07,60.39,75.78,90.12,49.87,74.53,91.30,51.43,75.81,90.50,40.78,78.61,94.55,65.57,79.16,94.65,72.15,77.46,94.39,70.49,76.69,91.61,48.00,77.70,93.07,55.26,76.12,93.76,63.15,78.28,93.40,52.52,78.01,92.86,54.34,78.59,93.86,62.78,78.48,93.92,61.77,78.12,92.60,45.66,78.23,93.53,58.72,78.40,93.03,52.03,78.11,93.85,60.26,78.24,92.07,41.02,78.70,91.93,42.19,77.40,93.55,55.53,78.09,94.16,65.56,78.02,92.72,50.11,78.18,93.36,58.84,78.09,92.36,51.99,77.86,93.52,55.70,78.59,94.07,66.19,78.43,93.21,50.16,78.45,92.84,61.56,78.12,94.22,67.37,78.61,92.71,54.61,78.05,93.78,61.63,78.13,93.01,57.66,77.11,92.00,47.54,77.24,92.97,62.10,78.08,93.21,57.55,78.04,93.54,65.01,78.37,93.62,57.43,77.84,92.51,53.24,77.58,92.45,49.23,77.64,92.14,50.49,77.94,92.60,60.71,79.36,86.74,25.66,77.41,93.00,63.19,78.50,92.47,52.02,78.50,93.80,79.27,78.35,91.55,46.41,78.14,93.13,57.66,78.85,94.49,82.68,77.61,92.97,58.42,78.31,91.78,54.56,78.30,92.41,55.79,77.63,93.36,66.52,78.27,93.71,61.73,77.35,92.67,53.19,78.08,92.84,53.38,77.94,92.42,50.91,77.85,91.72,54.04,78.36,94.20,64.70,78.01,91.93,53.90,77.76,93.07,61.36,78.02,92.12,48.60,77.92,93.44,59.15
STAR Unaligned,2032819,2586535,32345916,1688367,2275930,31264040,2503562,2584725,21782770,2788310,2934744,31493595,862825,1525034,27344188,2230175,2432685,34991889,491432,1085588,22192809,3022654,3293908,30816628,1300256,2616264,45032395,1580686,4120681,75959820,1865906,2412169,37798879,4170266,4994407,52772263,3419959,3177137,23767916,1975010,2522454,30304220,3100633,2978076,20486664,2659244,3605664,26132271,1864480,2222011,17864609,1437276,1827687,20209293,5441446,4359784,30324053,4568651,3633552,18938976,4127637,3317356,18249413,1795605,2110162,19803678,4932169,4759812,40479470,2518722,2216521,15348063,1459539,1366400,13323516,1736146,1736414,14682932,1949307,1707556,11959425,3131824,2739095,20171598,1379834,1462826,16841673,3178535,2900642,22928255,2727638,2729453,26577004,3535858,3143857,24270859,2193745,2489936,32341533,2358240,2861854,34462182,2380042,2161863,19794681,4169545,3540815,23174485,2010709,2030810,19868206,2619431,2433249,18127427,2749071,2913835,24831039,2678551,2465377,21467535,4635546,3941981,24074066,2498489,2436472,25197280,2454571,2533165,15669566,3762030,3127166,18751784,3230002,3402180,27516518,2745392,2401482,17048934,3010316,2939836,22078904,2844748,3172146,31140536,4359462,4270101,26937496,3431468,3288262,25353660,4464540,4065105,24260998,4545873,4171738,34763096,2388367,2532087,21207471,2115902,2214432,21162679,3074164,3383947,29769309,2636338,2721925,16821675,1515862,3087958,45505227,3761814,3619567,21291782,3918783,4257700,36892305,5118777,4555844,14048742,3252171,3898430,37239912,3317820,3178059,24058037,4929537,3932659,10823411,3076796,3117348,22789566,2720710,3161041,22440760,4907028,5357339,39721153,2782795,2596074,13975512,4362440,4004951,28346322,2814373,2851232,24163798,2712115,2757916,23745958,3136695,3307680,29396906,1950682,2276578,16342511,4790658,4020297,26850915,2259843,2582757,19125706,3468610,3358132,21426777,2625960,2977247,28214527,3356913,3151653,23594790
