  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
02-0047-01A-01R-1849-01+1,57273471,42828688,74.77,83763223,97.78
02-0047-01A-01R-1849-01+2,39763747,32408911,81.50,63626802,98.16
02-0055-01A-01R-1849-01+1,61180879,49498447,80.90,97403231,98.39
02-0055-01A-01R-1849-01+2,39650254,35846561,90.40,70720856,98.64
02-2483-01A-01R-1849-01+1,44460963,40978199,92.16,80949943,98.77
02-2483-01A-01R-1849-01+2,68928400,58755335,85.24,115802382,98.54
02-2485-01A-01R-1849-01+1,60776178,52014481,85.58,102087149,98.13
02-2485-01A-01R-1849-01+2,41304326,38477894,93.15,75601587,98.24
02-2486-01A-01R-1849-01+1,35970074,31419699,87.34,61337724,97.61
02-2486-01A-01R-1849-01+2,57718395,47087828,81.58,92075376,97.76
06-0125-01A-01R-1849-01+1,48672864,45194577,92.85,89393675,98.89
06-0125-01A-01R-1849-01+2,70452723,58576399,83.14,115443281,98.54
06-0125-02A-11R-2005-01+1,42167813,37896001,89.86,74745636,98.61
06-0125-02A-11R-2005-01+2,62386886,49760758,79.76,97861218,98.33
06-0129-01A-01R-1849-01+1,72932103,60227173,82.57,118184266,98.11
06-0129-01A-01R-1849-01+2,51557783,47625163,92.37,93735301,98.40
06-0130-01A-01R-1849-01+1,62493716,49841405,79.75,97822451,98.13
06-0130-01A-01R-1849-01+2,41914083,37402004,89.23,73602007,98.39
06-0132-01A-02R-1849-01+1,37628389,33124964,88.03,65173674,98.37
06-0132-01A-02R-1849-01+2,59648498,47426433,79.50,93165414,98.22
06-0138-01A-02R-1849-01+1,53103521,43427181,81.77,85534218,98.48
06-0138-01A-02R-1849-01+2,33539565,30585270,91.19,60404994,98.74
06-0139-01A-01R-1849-01+1,40785492,17171955,42.10,21474515,62.52
06-0141-01A-01R-1849-01+1,73728028,59965161,81.33,117947427,98.34
06-0141-01A-01R-1849-01+2,44037378,39517622,89.73,77892550,98.55
06-0152-02A-01R-2005-01+1,67854229,54755043,80.69,107414051,98.08
06-0152-02A-01R-2005-01+2,46467468,42454494,91.36,83563104,98.41
06-0156-01A-02R-1849-01+1,59449077,46540901,78.28,90844390,97.59
06-0156-01A-02R-1849-01+2,41231056,36074349,87.49,70522835,97.74
06-0156-01A-03R-1849-01+1,37439280,35127977,93.82,69450317,98.85
06-0156-01A-03R-1849-01+2,55663818,46352998,83.27,91366167,98.55
06-0157-01A-01R-1849-01+1,44780771,39828735,88.94,78503092,98.55
06-0157-01A-01R-1849-01+2,68951759,54583703,79.16,107324636,98.31
06-0158-01A-01R-1849-01+1,47951461,43271791,90.24,85329381,98.59
06-0158-01A-01R-1849-01+2,71599693,56859445,79.41,111749491,98.26
06-0168-01A-01R-1849-01+1,57114098,17849452,31.25,23655785,66.26
06-0168-01A-01R-1849-01+2,44722872,15269971,34.14,18994402,62.19
06-0171-02A-11R-2005-01+1,44418238,42428201,95.51,83991116,98.98
06-0171-02A-11R-2005-01+2,67572457,58154997,86.06,114796145,98.69
06-0174-01A-01R-1849-01+1,40081389,37250762,92.93,73784835,99.03
06-0174-01A-01R-1849-01+2,59393641,49220100,82.87,97141789,98.68
06-0178-01A-01R-1849-01+1,33453576,29967019,89.57,58799155,98.10
06-0178-01A-01R-1849-01+2,56978312,46931000,82.36,92174734,98.20
06-0184-01A-01R-1849-01+1,44274759,38388351,86.70,75712588,98.61
06-0184-01A-01R-1849-01+2,69523880,54308091,78.11,106858271,98.38
06-0187-01A-01R-1849-01+1,62984100,53233682,84.51,105103221,98.71
06-0187-01A-01R-1849-01+2,40370786,38188934,94.59,75633386,99.02
06-0190-01A-01R-1849-01+1,58891295,46204471,78.45,90180993,97.58
06-0190-01A-01R-1849-01+2,40875670,35421925,86.65,69192395,97.66
06-0190-02A-01R-2005-01+1,64618682,50282548,77.81,99040154,98.48
06-0190-02A-01R-2005-01+2,42587502,36814619,86.44,72700597,98.73
06-0210-01A-01R-1849-01+1,44090843,40762857,92.45,80276457,98.46
06-0210-01A-01R-1849-01+2,68501480,56864638,83.01,111811263,98.31
06-0210-02A-01R-2005-01+1,66581624,54589236,81.98,107458651,98.42
06-0210-02A-01R-2005-01+2,43002934,39725434,92.37,78432546,98.71
06-0211-01A-01R-1849-01+1,64017053,52742106,82.38,104117801,98.70
06-0211-01A-01R-1849-01+2,43409347,39914085,91.94,79045734,99.01
06-0211-01B-01R-1849-01+1,69674516,57186218,82.07,112489357,98.35
06-0211-01B-01R-1849-01+2,47545473,43628412,91.76,86036538,98.60
06-0211-02A-02R-2005-01+1,37153418,35420989,95.33,70179458,99.06
06-0211-02A-02R-2005-01+2,56631049,48466637,85.58,95729237,98.75
06-0219-01A-01R-1849-01+1,65624323,53578728,81.64,105563137,98.51
