  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count
02-0047-01A-01R-1849-01+1,57273471,42828688,74.77
02-0047-01A-01R-1849-01+2,39763747,32408911,81.50
02-0055-01A-01R-1849-01+1,61180879,49498447,80.90
02-0055-01A-01R-1849-01+2,39650254,35846561,90.40
02-2483-01A-01R-1849-01+1,44460963,40978199,92.16
02-2483-01A-01R-1849-01+2,68928400,58755335,85.24
02-2485-01A-01R-1849-01+1,60776178,52014481,85.58
02-2485-01A-01R-1849-01+2,41304326,38477894,93.15
02-2486-01A-01R-1849-01+1,35970074,31419699,87.34
02-2486-01A-01R-1849-01+2,57718395,47087828,81.58
06-0125-01A-01R-1849-01+1,48672864,45194577,92.85
06-0125-01A-01R-1849-01+2,70452723,58576399,83.14
06-0125-02A-11R-2005-01+1,42167813,37896001,89.86
06-0125-02A-11R-2005-01+2,62386886,49760758,79.76
06-0129-01A-01R-1849-01+1,72932103,60227173,82.57
06-0129-01A-01R-1849-01+2,51557783,47625163,92.37
06-0130-01A-01R-1849-01+1,62493716,49841405,79.75
06-0130-01A-01R-1849-01+2,41914083,37402004,89.23
06-0132-01A-02R-1849-01+1,37628389,33124964,88.03
06-0132-01A-02R-1849-01+2,59648498,47426433,79.50
06-0138-01A-02R-1849-01+1,53103521,43427181,81.77
06-0138-01A-02R-1849-01+2,33539565,30585270,91.19
06-0139-01A-01R-1849-01+1,40785492,17171955,42.10
06-0141-01A-01R-1849-01+1,73728028,59965161,81.33
06-0141-01A-01R-1849-01+2,44037378,39517622,89.73
06-0152-02A-01R-2005-01+1,67854229,54755043,80.69
06-0152-02A-01R-2005-01+2,46467468,42454494,91.36
06-0156-01A-02R-1849-01+1,59449077,46540901,78.28
06-0156-01A-02R-1849-01+2,41231056,36074349,87.49
06-0156-01A-03R-1849-01+1,37439280,35127977,93.82
06-0156-01A-03R-1849-01+2,55663818,46352998,83.27
06-0157-01A-01R-1849-01+1,44780771,39828735,88.94
06-0157-01A-01R-1849-01+2,68951759,54583703,79.16
06-0158-01A-01R-1849-01+1,47951461,43271791,90.24
06-0158-01A-01R-1849-01+2,71599693,56859445,79.41
06-0168-01A-01R-1849-01+1,57114098,17849452,31.25
06-0168-01A-01R-1849-01+2,44722872,15269971,34.14
06-0171-02A-11R-2005-01+1,44418238,42428201,95.51
06-0171-02A-11R-2005-01+2,67572457,58154997,86.06
06-0174-01A-01R-1849-01+1,40081389,37250762,92.93
06-0174-01A-01R-1849-01+2,59393641,49220100,82.87
06-0178-01A-01R-1849-01+1,33453576,29967019,89.57
