project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	spectrophotometer_method	state	well_number
TARGET-ALL-P2	1bd4c2ca-baab-5bd8-b137-7ffbd957cfff	TARGET-10-PATHGY	3270affb-e894-5818-8130-037add1aca03	TARGET-10-PATHGY-14A	132996dd-ad8e-5dbc-a4d5-4ad3e058c6d5	'--	2d2adb5e-ca60-5e24-96a7-8af589b4ca09	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	1bd4c2ca-baab-5bd8-b137-7ffbd957cfff	TARGET-10-PATHGY	5a5c6ab8-51cc-5277-b104-21ec46b0af57	TARGET-10-PATHGY-09A	462521a3-5dd4-507e-9e19-e285ffe7bc29	'--	17120793-8b37-5899-9ffc-028965799beb	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	1bd4c2ca-baab-5bd8-b137-7ffbd957cfff	TARGET-10-PATHGY	5a5c6ab8-51cc-5277-b104-21ec46b0af57	TARGET-10-PATHGY-09A	f7ca4e00-ff87-587a-863f-39e11118d0c2	'--	56f1cc2a-af9a-5399-945f-3ab865578eba	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	c5e7f48a-9c7d-5011-a21f-daf1b8f5cafb	TARGET-10-PAPCVZ-10A	dc3393fe-3cc2-5fcb-85ec-a4f5f3e204fc	'--	c2f10045-9d11-5eec-bdae-6cfb7a5cbad8	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	ef7dc345-cd79-5e84-a96c-5dddeb08ce10	TARGET-10-PAPCVZ-04A	70ff3e72-31d0-59f5-b0e9-74ee42b6beb2	'--	cca17b47-d8ea-5242-a01d-45f6548d6b65	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	ef7dc345-cd79-5e84-a96c-5dddeb08ce10	TARGET-10-PAPCVZ-04A	d6923f7b-d061-566a-9929-65c0bb228aa1	'--	4527adb2-7d45-574e-b926-114a1dfbac25	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	ef7dc345-cd79-5e84-a96c-5dddeb08ce10	TARGET-10-PAPCVZ-04A	3ed72001-7e0e-50a9-9554-71eb08e87a3b	'--	350c5ddd-4bdf-5d4f-a325-ff31bbe95403	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	ef7dc345-cd79-5e84-a96c-5dddeb08ce10	TARGET-10-PAPCVZ-04A	3e03459a-33c9-5a7a-a2b4-53dae3980073	'--	726008ed-cdee-5597-8c59-702f8ec1d377	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	3643e35b-24af-5a86-ba19-eb979369a9e6	TARGET-10-PAPCVZ-03A	410fe3d1-67cb-539c-9369-eae35c495b72	'--	9a93cf2c-347a-5e69-afb6-fd632821bd95	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	08609e2c-2e4d-5c28-83e8-9c72039652fb	TARGET-10-PAPCVZ-14A	6c632862-ad11-54d6-b64e-8e25c6d6e2b3	'--	cb9d0d56-d4a7-50ef-9cf3-b24765124976	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	1bf21c12-04ec-5900-b577-e6c07fcb71ad	TARGET-10-PAPCVZ-09A	a381806e-699f-5074-b1a0-f2e0182d651a	'--	5a4f9165-6b2f-54cd-bfd9-58de667cfa16	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	1bf21c12-04ec-5900-b577-e6c07fcb71ad	TARGET-10-PAPCVZ-09A	4d35e03d-4d17-5ef4-9273-85be70caf21c	'--	fef920a1-79da-57d0-a002-41f408567158	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	4a9f5337-9370-5676-8433-8fbbf23b8cc4	TARGET-10-PAPCVZ	1bf21c12-04ec-5900-b577-e6c07fcb71ad	TARGET-10-PAPCVZ-09A	02c9a5cc-a7c5-5f89-ad1d-53596fec9262	'--	6821a13b-d50e-5220-99b8-590ae94689d3	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	c767de0c-d5f0-50fd-a313-d112b6dd8218	TARGET-10-PARBVI-09A	4e46514b-c327-5ae4-9d28-c463b4452497	'--	77cffa39-4f23-5eda-8bb7-39f597a89979	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	c767de0c-d5f0-50fd-a313-d112b6dd8218	TARGET-10-PARBVI-09A	d08cc6e7-128d-5d3a-84b9-8e39d27823ce	'--	fb7089be-bbfe-5cdc-8825-7a7039b17bea	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	c767de0c-d5f0-50fd-a313-d112b6dd8218	TARGET-10-PARBVI-09A	b48d3a1a-2f3f-5d32-8ec2-daed72472f66	'--	0bccdaf6-81da-58f3-985f-d1d9e990181b	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	c767de0c-d5f0-50fd-a313-d112b6dd8218	TARGET-10-PARBVI-09A	2d32f892-e25a-5713-9c7d-5c5d58608740	'--	a2d5e6e3-f91d-54e1-8ac2-eb139316c0e8	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	c767de0c-d5f0-50fd-a313-d112b6dd8218	TARGET-10-PARBVI-09A	189dd4f8-d290-5e02-b2ff-f8e7d9cea241	'--	61d075b5-dede-50dd-a101-47bdb5c56122	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	d18bceb3-26f0-50fd-9e2f-7520da29c411	TARGET-10-PARBVI-14A	e2bf8d7d-3e89-5f65-bac0-2995e0e4f530	'--	ab60a658-5c86-5a4c-a207-42aa61e03c06	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	de78eca7-412c-5bde-b531-b3a4af658e15	TARGET-10-PARBVI-04A	3ce5c50c-3c28-508e-a952-e029b827cde1	'--	74189ac7-b550-5283-8665-1d0d571e737e	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	de78eca7-412c-5bde-b531-b3a4af658e15	TARGET-10-PARBVI-04A	8134f3c8-4a32-5bab-a1d3-840b00749e21	'--	c5372345-e0d9-574c-97d1-1103ea1e7d5a	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	de78eca7-412c-5bde-b531-b3a4af658e15	TARGET-10-PARBVI-04A	241ed956-9907-53aa-887d-9a85228e290e	'--	da22c4d3-ab1d-560d-a238-2a99df55f06d	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	de78eca7-412c-5bde-b531-b3a4af658e15	TARGET-10-PARBVI-04A	e281e9a3-de8a-57f3-956b-9613c5e73878	'--	1b5ff413-b937-5722-99ee-1c997d248639	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	TARGET-10-PARBVI	8a89be55-77cf-50b7-9261-7db8d0dbf601	TARGET-10-PARBVI-10A	f2e94277-6da0-5c8f-810d-b369cad58312	'--	d3b50b81-adf6-5888-b497-90bedcc11682	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	8c975d40-f498-5a4c-8fb9-597210b51557	TARGET-10-PATEMI	40795c24-35b9-5bd4-9041-8eaf9eb24189	TARGET-10-PATEMI-09A	84758f25-c8fa-593a-a708-9b5711dab3b3	'--	10da37d2-523e-5520-b7b3-f5ac33553d68	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	8c975d40-f498-5a4c-8fb9-597210b51557	TARGET-10-PATEMI	40795c24-35b9-5bd4-9041-8eaf9eb24189	TARGET-10-PATEMI-09A	15c70ff6-6ae6-57d8-9dba-46a0cd7f401f	'--	280d8557-9b9c-5aad-965f-c30551098cb7	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	8c975d40-f498-5a4c-8fb9-597210b51557	TARGET-10-PATEMI	d5c63efa-9dba-556b-aa67-03376ff855e6	TARGET-10-PATEMI-10A	c9db8ea5-becb-5f56-8b2e-36db5f64149c	'--	97a6f4af-695d-5072-81d9-96f869ca9552	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	9ae3df26-f0de-5ea8-83ae-443877f5cc43	TARGET-10-PANGIF	6ecfe773-647c-5ac9-9bea-2c557bccf8c2	TARGET-10-PANGIF-09A	1648d210-6fa5-55bc-94e5-86ad0d1d345a	'--	5c3f799d-4d41-5b9c-93b8-9ffa86f6c716	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	9ae3df26-f0de-5ea8-83ae-443877f5cc43	TARGET-10-PANGIF	9b1e30e3-4514-5a49-aa8e-d18f687dea72	TARGET-10-PANGIF-03A	bcf68ecf-17dd-5979-a04c-6e9bad36885e	'--	9121d44e-ded3-5777-aab2-b9d51ea4aa8e	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	9ae3df26-f0de-5ea8-83ae-443877f5cc43	TARGET-10-PANGIF	2ec5fd5e-002e-5f72-9a3f-bd0d27cc6b99	TARGET-10-PANGIF-14A	bc7ccecd-63a3-594b-9d8a-5dbec81c4849	'--	1aeb4ac8-a58a-5ac4-a15b-3cc149093d87	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	0c549fb9-b3ab-5626-b7ef-70c820fb47bf	TARGET-10-PASXMF	da09dad4-994c-5296-9b79-947baef0a466	TARGET-10-PASXMF-09A	85d2afee-8081-56ef-b518-6189b3337201	'--	98584751-39dc-5557-bbcd-00f39988a147	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	0c549fb9-b3ab-5626-b7ef-70c820fb47bf	TARGET-10-PASXMF	da09dad4-994c-5296-9b79-947baef0a466	TARGET-10-PASXMF-09A	a004c5f2-10e4-5ddb-bcb9-fcb5e1621ebc	'--	2cefa883-7a7a-572c-9d83-3eceb572d5ff	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	0c549fb9-b3ab-5626-b7ef-70c820fb47bf	TARGET-10-PASXMF	bb861c3c-ba01-5287-9158-3142ad0eb58f	TARGET-10-PASXMF-10A	1d421008-d4b1-5a6b-a67b-0c34060c38f0	'--	944a72ce-7373-5214-b635-a6eec49e481c	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
