  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count
SRR1069188,29619857,27032205,91.26
SRR1070986,51448415,45698810,88.82
SRR1071289,31765066,29447932,92.70
SRR1071880,52524935,46941995,89.37
SRR1072178,37488442,34131232,91.04
SRR1072367,35254942,32097520,91.04
SRR1072504,54792655,49014744,89.45
SRR1072797,35259031,32718206,92.79
SRR1073143,30008939,27924911,93.05
SRR1073755,43487334,38846970,89.32
SRR1074164,51053729,46120268,90.33
SRR1075433,60331216,54501973,90.33
SRR1075898,50413865,44978098,89.21
SRR1076072,32407165,30067067,92.77
SRR1077405,43556144,40681718,93.40
SRR1077687,30638477,28015391,91.43
SRR1078347,34290585,31077734,90.63
SRR1078879,38855002,36086484,92.87
SRR1079168,34634267,31626273,91.31
SRR1079281,41277305,37345118,90.47
SRR1079591,35403089,32296238,91.22
SRR1080172,35040045,32838944,93.71
SRR1080835,37437671,34594393,92.40
SRR1080927,38302496,35629027,93.02
SRR1081741,36992547,34277313,92.66
SRR1082262,35906142,32584609,90.74
SRR1082328,31846918,29646172,93.08
SRR1082759,52527810,46322944,88.18
SRR1083100,57190611,51302723,89.70
SRR1083632,59447324,53607999,90.17
SRR1084484,34868243,31792165,91.17
SRR1084649,53371138,47053829,88.16
SRR1084842,61395365,55456035,90.32
SRR1085015,35724631,33144451,92.77
SRR1085495,33233745,30790810,92.64
SRR1085662,55427977,49935115,90.09
SRR1085782,34533368,31515637,91.26
SRR1085825,53214018,47631651,89.50
SRR1085850,31179898,28833529,92.47
SRR1085975,32495184,29690619,91.36
SRR1086561,34354102,31840529,92.68
SRR1086635,40793803,37171712,91.12
SRR1086680,35500555,33232423,93.61
SRR1087031,30529584,28389406,92.98
SRR1087152,30559093,27894025,91.27
SRR1088389,32646563,30286787,92.77
SRR1092706,37246857,34061414,91.44
SRR1092797,29258722,26652675,91.09
SRR1093527,56611796,51222105,90.47
SRR1093773,42354551,38516884,90.93
SRR1095865,35413600,32725984,92.41
SRR1096851,46172699,41474903,89.82
SRR1096966,44702827,40894794,91.48
SRR1097392,52061252,46697968,89.69
SRR1097752,54758094,48355366,88.30
SRR1097978,33956052,31947843,94.08
SRR1098336,32101890,29671685,92.42
SRR1098519,37960036,35249480,92.85
SRR1099023,51348607,45685794,88.97
SRR1099168,34527114,31416267,90.99
SRR1099499,36174419,32944025,91.06
SRR1100872,36341894,33018406,90.85
SRR1101421,52267988,48787367,93.34
SRR1102055,34717082,32057292,92.33
SRR1103048,37955282,35215007,92.78
SRR1307770,42711917,34988434,81.91
SRR1310008,50800452,45338729,89.24
SRR1310113,46518105,41091391,88.33
SRR1310136,46469630,35603776,76.61
SRR1310623,36405540,33495545,92.00
SRR1311086,42649223,38122931,89.38
SRR1311182,47187823,41783234,88.54
SRR1311285,48214638,43040316,89.26
SRR1311400,55278808,52073135,94.20
SRR1311575,42445153,38158511,89.90
SRR1311771,40511812,35540702,87.72
SRR1311794,38848081,34468900,88.72
SRR1312103,42305557,36866241,87.14
SRR1312428,49401032,45697639,92.50
SRR1312743,46542545,39890051,85.70
SRR1313361,65502274,62614255,95.59
SRR1313426,40813709,35845240,87.82
SRR1313642,69314786,64536338,93.10
SRR1313932,36605835,34157952,93.31
SRR1313951,39894159,33747960,84.59
SRR1314163,46909397,41659927,88.80
SRR1314187,37780160,32599626,86.28
SRR1314767,60131804,57623700,95.82
SRR1314958,43579323,41120532,94.35
SRR1314998,42202242,39560064,93.73
SRR1315019,35166489,31819931,90.48
SRR1315145,33363156,31447886,94.25
SRR1315269,39780728,36578729,91.95
SRR1315371,35781706,33303899,93.07
SRR1315721,47069706,44814790,95.20
SRR1315761,42181646,38514978,91.30
SRR1315799,62519180,58846953,94.12
SRR1315842,96441753,87026223,90.23
SRR1315866,52824500,47385589,89.70
SRR1315949,61188024,58631665,95.82
SRR1315970,41217673,36948565,89.64
SRR1315994,57463841,54496289,94.83
SRR1316127,40214544,36329525,90.33
SRR1316254,44888855,40659520,90.57
SRR1316297,35880601,32349422,90.15
