  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
SRR1069188,29619857,27032205,91.26,53187293,98.37
SRR1070986,51448415,45698810,88.82,90078425,98.55
SRR1071289,31765066,29447932,92.70,58083020,98.61
SRR1071880,52524935,46941995,89.37,92399062,98.41
SRR1072178,37488442,34131232,91.04,67134658,98.34
SRR1072367,35254942,32097520,91.04,63476654,98.88
SRR1072504,54792655,49014744,89.45,96668772,98.61
SRR1072797,35259031,32718206,92.79,64576423,98.68
SRR1073143,30008939,27924911,93.05,55096675,98.65
SRR1073755,43487334,38846970,89.32,76350005,98.27
SRR1074164,51053729,46120268,90.33,90577658,98.19
SRR1075433,60331216,54501973,90.33,107751017,98.85
SRR1075898,50413865,44978098,89.21,88767179,98.67
SRR1076072,32407165,30067067,92.77,59308635,98.62
SRR1077405,43556144,40681718,93.40,80117550,98.46
SRR1077687,30638477,28015391,91.43,55336077,98.76
SRR1078347,34290585,31077734,90.63,61297066,98.61
SRR1078879,38855002,36086484,92.87,71134725,98.56
SRR1079168,34634267,31626273,91.31,62430998,98.70
SRR1079281,41277305,37345118,90.47,73540801,98.46
SRR1079591,35403089,32296238,91.22,63762343,98.71
SRR1080172,35040045,32838944,93.71,64838909,98.72
SRR1080835,37437671,34594393,92.40,68158975,98.51
SRR1080927,38302496,35629027,93.02,69902280,98.09
SRR1081741,36992547,34277313,92.66,67408937,98.32
SRR1082262,35906142,32584609,90.74,64192311,98.50
SRR1082328,31846918,29646172,93.08,58434700,98.55
SRR1082759,52527810,46322944,88.18,91151550,98.38
SRR1083100,57190611,51302723,89.70,101021019,98.45
SRR1083632,59447324,53607999,90.17,105887647,98.76
SRR1084484,34868243,31792165,91.17,62730102,98.65
SRR1084649,53371138,47053829,88.16,92673013,98.47
SRR1084842,61395365,55456035,90.32,109409991,98.64
SRR1085015,35724631,33144451,92.77,65429791,98.70
SRR1085495,33233745,30790810,92.64,60610689,98.42
SRR1085662,55427977,49935115,90.09,98755050,98.88
SRR1085782,34533368,31515637,91.26,62153172,98.60
SRR1085825,53214018,47631651,89.50,94038686,98.71
SRR1085850,31179898,28833529,92.47,56904807,98.67
SRR1085975,32495184,29690619,91.36,58461845,98.45
SRR1086561,34354102,31840529,92.68,62776113,98.57
SRR1086635,40793803,37171712,91.12,73279042,98.56
SRR1086680,35500555,33232423,93.61,65168797,98.05
SRR1087031,30529584,28389406,92.98,55938278,98.51
SRR1087152,30559093,27894025,91.27,54987989,98.56
SRR1088389,32646563,30286787,92.77,59669147,98.50
SRR1092706,37246857,34061414,91.44,66707897,97.92
SRR1092797,29258722,26652675,91.09,52518169,98.52
SRR1093527,56611796,51222105,90.47,100813317,98.40
SRR1093773,42354551,38516884,90.93,76044543,98.71
SRR1095865,35413600,32725984,92.41,64543856,98.61
SRR1096851,46172699,41474903,89.82,81691569,98.48
SRR1096966,44702827,40894794,91.48,80708573,98.67
SRR1097392,52061252,46697968,89.69,91619833,98.09
SRR1097752,54758094,48355366,88.30,94976509,98.20
SRR1097978,33956052,31947843,94.08,63058070,98.68
SRR1098336,32101890,29671685,92.42,58273942,98.19
SRR1098519,37960036,35249480,92.85,69018308,97.89
SRR1099023,51348607,45685794,88.97,90192914,98.71
SRR1099168,34527114,31416267,90.99,61785299,98.33
SRR1099499,36174419,32944025,91.06,65006229,98.66
SRR1100872,36341894,33018406,90.85,64683679,97.95
SRR1101421,52267988,48787367,93.34,96335098,98.72
SRR1102055,34717082,32057292,92.33,63084004,98.39
SRR1103048,37955282,35215007,92.78,68969850,97.92
SRR1307770,42711917,34988434,81.91,68732667,98.22
SRR1310008,50800452,45338729,89.24,89689491,98.91
SRR1310113,46518105,41091391,88.33,81173941,98.77
SRR1310136,46469630,35603776,76.61,70070280,98.40
SRR1310623,36405540,33495545,92.00,66406022,99.12
SRR1311086,42649223,38122931,89.38,75407344,98.90
SRR1311182,47187823,41783234,88.54,82497767,98.72
SRR1311285,48214638,43040316,89.26,84979589,98.72
SRR1311400,55278808,52073135,94.20,103096216,98.99
SRR1311575,42445153,38158511,89.90,75512589,98.94
SRR1311771,40511812,35540702,87.72,70032980,98.52
SRR1311794,38848081,34468900,88.72,68228515,98.97
SRR1312103,42305557,36866241,87.14,72867421,98.82
SRR1312428,49401032,45697639,92.50,90189658,98.68
SRR1312743,46542545,39890051,85.70,78750777,98.70
SRR1313361,65502274,62614255,95.59,123780381,98.84
SRR1313426,40813709,35845240,87.82,70815417,98.77
SRR1313642,69314786,64536338,93.10,126207631,97.78
SRR1313932,36605835,34157952,93.31,67598361,98.94
SRR1313951,39894159,33747960,84.59,66794038,98.96
SRR1314163,46909397,41659927,88.80,82480306,98.99
SRR1314187,37780160,32599626,86.28,64237610,98.52
SRR1314767,60131804,57623700,95.82,114027676,98.94
