  ,biospecimen_repository_sample_id,BioSample,Body Site,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q30 l30 EBV Count,RMHM viral q30 l30 EBV Count,RMHM viral q30 l40 EBV Count,RMHM viral q30 l50 EBV Count,RMHM viral q30 l60 EBV Count,Human Virome EBV Count,RMHM viral q30 l30 CMV Count,RMHM viral q30 l40 CMV Count,RMHM viral q30 l50 CMV Count,RMHM viral q30 l60 CMV Count,Human Virome CMV Count,RMHM viral q30 l30 HSV1 Count,RMHM viral q30 l40 HSV1 Count,RMHM viral q30 l50 HSV1 Count,RMHM viral q30 l60 HSV1 Count,Human Virome HSV1 Count,RMHM viral q30 l30 HSV2 Count,RMHM viral q30 l40 HSV2 Count,RMHM viral q30 l50 HSV2 Count,RMHM viral q30 l60 HSV2 Count,Human Virome HSV2 Count
SRR1444460,GTEX-1117F-3226-SM-5N9CT,SAMN02792461,Brain - Cortex,42344670,981606,42239,,,,,,,,,,,,,,,,,,,,,
SRR1404640,GTEX-111FC-3126-SM-5GZZ2,SAMN02790901,Brain - Cortex,50843063,1167622,46905,,,,,,,,,,,,,,,,,,,,,
SRR1434867,GTEX-111FC-3326-SM-5GZYV,SAMN02792648,Brain - Cerebellum,40653985,1113877,45035,,,,,,,,,,,,,,,,,,,,,
SRR1323043,GTEX-1128S-2726-SM-5H12C,SAMN02787750,Brain - Cortex,49962124,884240,39986,,,,,,,,,,,,,,,,,,,,,
SRR1434271,GTEX-1128S-2826-SM-5N9DI,SAMN02792039,Brain - Cerebellum,34603384,966031,37612,,,,,,,,,,,,,,,,,,,,,
SRR1311400,GTEX-117XS-3026-SM-5N9CA,SAMN02788650,Brain - Cortex,55278808,1050054,53002,,,,,,,,,,,,,,,,,,,,,
SRR1361736,GTEX-117XS-3126-SM-5GIDP,SAMN02789672,Brain - Cerebellum,34694288,971281,38851,,,,,,,,,,,,,,,,,,,,,
SRR1465632,GTEX-117YW-2926-SM-5GIEQ,SAMN02790158,Brain - Cortex,39327857,795480,33480,,,,,,,,,,,,,,,,,,,,,
SRR1359630,GTEX-1192X-3126-SM-5N9BY,SAMN02792600,Brain - Cortex,38718448,795334,37532,,,,,,,,,,,,,,,,,,,,,
SRR1307770,GTEX-1192X-3226-SM-5987D,SAMN02787248,Brain - Cerebellum,42711917,1244201,62613,,,,,,,,,,,,,,,,,,,,,
SRR1459033,GTEX-11DXW-1026-SM-5H11K,SAMN02791769,Brain - Cerebellum,38779107,1091510,40051,,,,,,,,,,,,,,,,,,,,,
SRR1362532,GTEX-11DXW-1126-SM-5H12Q,SAMN02787979,Brain - Cortex,53696342,994502,44377,,,,,,,,,,,,,,,,,,,,,
SRR1415215,GTEX-11DXY-3126-SM-5N9BT,SAMN02790122,Brain - Cerebellum,47581290,1219845,50856,,,,,,,,,,,,,,,,,,,,,
SRR1373858,GTEX-11DXY-3226-SM-5GIDE,SAMN02788694,Brain - Cortex,38090335,696523,35015,,,,,,,,,,,,,,,,,,,,,
SRR1467255,GTEX-11DYG-2926-SM-5H132,SAMN02789769,Brain - Cerebellum,46090349,1321786,47561,,,,,,,,,,,,,,,,,,,,,
SRR1311771,GTEX-11DZ1-2926-SM-5A5KI,SAMN02793415,Brain - Cerebellum,40511812,1048424,40567,,,,,,,,,,,,,,,,,,,,,
SRR1481462,GTEX-11EI6-2926-SM-5985U,SAMN02791035,Brain - Cerebellum,48297398,1273290,65990,,,,,,,,,,,,,,,,,,,,,
SRR1379238,GTEX-11EI6-3026-SM-5GZZO,SAMN02791095,Brain - Cortex,54656635,956164,45192,,,,,,,,,,,,,,,,,,,,,
SRR1311575,GTEX-11EMC-3226-SM-5EGKW,SAMN02793392,Brain - Cortex,42445153,804433,30945,,,,,,,,,,,,,,,,,,,,,
