  ,SFHH003,SFHH003,SFHH003,SFHH003,SFHH004a,SFHH004a,SFHH004a,SFHH004a,SFHH004b,SFHH004b,SFHH004b,SFHH004b,Undetermined,Undetermined,Undetermined,Undetermined
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Trimmer,bbduk1,bbduk2,cutadapt1,cutadapt2,bbduk1,bbduk2,cutadapt1,cutadapt2,bbduk1,bbduk2,cutadapt1,cutadapt2,bbduk1,bbduk2,cutadapt1,cutadapt2
Raw Read Count,291798,291798,291798,291798,239036,239036,239036,239036,449598,449598,449598,449598,195013,195013,195013,195013
Raw Read Length,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
Trimmed Read Count,172984,185043,186946,186101,125878,134843,136137,135363,266074,284694,287793,286147,161376,183771,184317,184309
Trimmed Ave Read Length,52.3057,79.5413,88.6989,88.3564,54.7024,85.5535,95.4865,95.2548,50.0241,75.3314,84.0094,83.634,141.17,262.255,292.001,292.069
STAR Aligned to Transcriptome,13153,13140,13022,13151,6926,6619,6549,6604,13101,12645,12439,12555,2286,212,181,182
STAR Aligned to Transcriptome %,7.60,7.10,6.96,7.06,5.50,4.90,4.81,4.87,4.92,4.44,4.32,4.38,1.41,.11,.09,.09
STAR Aligned to Genome,51907,43429,42756,43132,36442,29222,28634,28891,84498,69058,68080,68685,14959,1210,843,842
STAR Aligned to Genome %,30.00,23.46,22.87,23.17,28.95,21.67,21.03,21.34,31.75,24.25,23.65,24.00,9.26,.65,.45,.45
STAR Unaligned,121077,141614,144190,142969,89436,105621,107503,106472,181576,215636,219713,217462,146417,182561,183474,183467
STAR Unaligned %,69.99,76.53,77.12,76.82,71.04,78.32,78.96,78.65,68.24,75.74,76.34,75.99,90.73,99.34,99.54,99.54
STAR Unmapped,121077,141614,144190,142969,89436,105621,107503,106472,181576,215636,219713,217462,146417,182561,183474,183467
STAR Unmapped %,69.99,76.53,77.12,76.82,71.04,78.32,78.96,78.65,68.24,75.74,76.34,75.99,90.73,99.34,99.54,99.54
Bowtie2 Aligned to hg38 (1),4016,4925,4837,4850,1371,1643,1576,1585,2354,2962,2811,2824,169,1019,834,858
Bowtie2 Aligned to hg38 (1) %,2.32,2.66,2.58,2.60,1.08,1.21,1.15,1.17,.88,1.04,.97,.98,.10,.55,.45,.46
STAR Aligned to mirna,9727,9636,9589,9648,6738,6956,6895,6960,14458,14623,14537,14664,2506,224,193,192
STAR Aligned to mirna %,5.62,5.20,5.12,5.18,5.35,5.15,5.06,5.14,5.43,5.13,5.05,5.12,1.55,.12,.10,.10
Bowtie Aligned to mirna,3753,3864,3853,3881,1815,1779,1781,1797,2953,2887,2864,2889,393,58,55,54
Bowtie Aligned to mirna %,2.16,2.08,2.06,2.08,1.44,1.31,1.30,1.32,1.10,1.01,.99,1.00,.24,.03,.02,.02
