  ,SFHH005aa,SFHH005aa,SFHH005aa,SFHH005aa,SFHH005aa,SFHH005aa,SFHH005ab,SFHH005ab,SFHH005ab,SFHH005ab,SFHH005ab,SFHH005ab,SFHH005ac,SFHH005ac,SFHH005ac,SFHH005ac,SFHH005ac,SFHH005ac,SFHH005ad,SFHH005ad,SFHH005ad,SFHH005ad,SFHH005ad,SFHH005ad,SFHH005ae,SFHH005ae,SFHH005ae,SFHH005ae,SFHH005ae,SFHH005ae,SFHH005af,SFHH005af,SFHH005af,SFHH005af,SFHH005af,SFHH005af,SFHH005ag,SFHH005ag,SFHH005ag,SFHH005ag,SFHH005ag,SFHH005ag,SFHH005ah,SFHH005ah,SFHH005ah,SFHH005ah,SFHH005ah,SFHH005ah,SFHH005ai,SFHH005ai,SFHH005ai,SFHH005ai,SFHH005ai,SFHH005ai,SFHH005aj,SFHH005aj,SFHH005aj,SFHH005aj,SFHH005aj,SFHH005aj,SFHH005ak,SFHH005ak,SFHH005ak,SFHH005ak,SFHH005ak,SFHH005ak,SFHH005al,SFHH005al,SFHH005al,SFHH005al,SFHH005al,SFHH005al,SFHH005am,SFHH005am,SFHH005am,SFHH005am,SFHH005am,SFHH005am,SFHH005an,SFHH005an,SFHH005an,SFHH005an,SFHH005an,SFHH005an,SFHH005ao,SFHH005ao,SFHH005ao,SFHH005ao,SFHH005ao,SFHH005ao,SFHH005ap,SFHH005ap,SFHH005ap,SFHH005ap,SFHH005ap,SFHH005ap,SFHH005aq,SFHH005aq,SFHH005aq,SFHH005aq,SFHH005aq,SFHH005aq,SFHH005ar,SFHH005ar,SFHH005ar,SFHH005ar,SFHH005ar,SFHH005ar,SFHH005a,SFHH005a,SFHH005a,SFHH005a,SFHH005a,SFHH005a,SFHH005b,SFHH005b,SFHH005b,SFHH005b,SFHH005b,SFHH005b,SFHH005c,SFHH005c,SFHH005c,SFHH005c,SFHH005c,SFHH005c,SFHH005d,SFHH005d,SFHH005d,SFHH005d,SFHH005d,SFHH005d,SFHH005e,SFHH005e,SFHH005e,SFHH005e,SFHH005e,SFHH005e,SFHH005f,SFHH005f,SFHH005f,SFHH005f,SFHH005f,SFHH005f,SFHH005g,SFHH005g,SFHH005g,SFHH005g,SFHH005g,SFHH005g,SFHH005h,SFHH005h,SFHH005h,SFHH005h,SFHH005h,SFHH005h,SFHH005i,SFHH005i,SFHH005i,SFHH005i,SFHH005i,SFHH005i,SFHH005j,SFHH005j,SFHH005j,SFHH005j,SFHH005j,SFHH005j,SFHH005k,SFHH005k,SFHH005k,SFHH005k,SFHH005k,SFHH005k,SFHH005l,SFHH005l,SFHH005l,SFHH005l,SFHH005l,SFHH005l,SFHH005m,SFHH005m,SFHH005m,SFHH005m,SFHH005m,SFHH005m,SFHH005n,SFHH005n,SFHH005n,SFHH005n,SFHH005n,SFHH005n,SFHH005o,SFHH005o,SFHH005o,SFHH005o,SFHH005o,SFHH005o,SFHH005p,SFHH005p,SFHH005p,SFHH005p,SFHH005p,SFHH005p,SFHH005q,SFHH005q,SFHH005q,SFHH005q,SFHH005q,SFHH005q,SFHH005r,SFHH005r,SFHH005r,SFHH005r,SFHH005r,SFHH005r,SFHH005s,SFHH005s,SFHH005s,SFHH005s,SFHH005s,SFHH005s,SFHH005t,SFHH005t,SFHH005t,SFHH005t,SFHH005t,SFHH005t,SFHH005u,SFHH005u,SFHH005u,SFHH005u,SFHH005u,SFHH005u,SFHH005v,SFHH005v,SFHH005v,SFHH005v,SFHH005v,SFHH005v,SFHH005w,SFHH005w,SFHH005w,SFHH005w,SFHH005w,SFHH005w,SFHH005x,SFHH005x,SFHH005x,SFHH005x,SFHH005x,SFHH005x,SFHH005y,SFHH005y,SFHH005y,SFHH005y,SFHH005y,SFHH005y,SFHH005z,SFHH005z,SFHH005z,SFHH005z,SFHH005z,SFHH005z
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Subject,3_5,3_5,3_5,3_5,3_5,3_5,3_6,3_6,3_6,3_6,3_6,3_6,3_7,3_7,3_7,3_7,3_7,3_7,3_8,3_8,3_8,3_8,3_8,3_8,3_9,3_9,3_9,3_9,3_9,3_9,3_10,3_10,3_10,3_10,3_10,3_10,3_11,3_11,3_11,3_11,3_11,3_11,4_1,4_1,4_1,4_1,4_1,4_1,4_2,4_2,4_2,4_2,4_2,4_2,4_3,4_3,4_3,4_3,4_3,4_3,4_4,4_4,4_4,4_4,4_4,4_4,4_5,4_5,4_5,4_5,4_5,4_5,4_6,4_6,4_6,4_6,4_6,4_6,4_7,4_7,4_7,4_7,4_7,4_7,4_8,4_8,4_8,4_8,4_8,4_8,4_9,4_9,4_9,4_9,4_9,4_9,4_10,4_10,4_10,4_10,4_10,4_10,4_11,4_11,4_11,4_11,4_11,4_11,1_1,1_1,1_1,1_1,1_1,1_1,1_2,1_2,1_2,1_2,1_2,1_2,1_3,1_3,1_3,1_3,1_3,1_3,1_4,1_4,1_4,1_4,1_4,1_4,1_5,1_5,1_5,1_5,1_5,1_5,1_6,1_6,1_6,1_6,1_6,1_6,1_7,1_7,1_7,1_7,1_7,1_7,1_8,1_8,1_8,1_8,1_8,1_8,1_9,1_9,1_9,1_9,1_9,1_9,1_10,1_10,1_10,1_10,1_10,1_10,1_11,1_11,1_11,1_11,1_11,1_11,2_1,2_1,2_1,2_1,2_1,2_1,2_2,2_2,2_2,2_2,2_2,2_2,2_3,2_3,2_3,2_3,2_3,2_3,2_4,2_4,2_4,2_4,2_4,2_4,2_5,2_5,2_5,2_5,2_5,2_5,2_6,2_6,2_6,2_6,2_6,2_6,2_7,2_7,2_7,2_7,2_7,2_7,2_8,2_8,2_8,2_8,2_8,2_8,2_9,2_9,2_9,2_9,2_9,2_9,2_10,2_10,2_10,2_10,2_10,2_10,2_11,2_11,2_11,2_11,2_11,2_11,3_1,3_1,3_1,3_1,3_1,3_1,3_2,3_2,3_2,3_2,3_2,3_2,3_3,3_3,3_3,3_3,3_3,3_3,3_4,3_4,3_4,3_4,3_4,3_4
Lab kit,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex,D-plex
Trimmer,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3,bbduk1,bbduk2,bbduk3,cutadapt1,cutadapt2,cutadapt3
Raw Read Count,7706323,7706323,7706323,7706323,7706323,7706323,10555114,10555114,10555114,10555114,10555114,10555114,10952810,10952810,10952810,10952810,10952810,10952810,15199567,15199567,15199567,15199567,15199567,15199567,11581885,11581885,11581885,11581885,11581885,11581885,10094714,10094714,10094714,10094714,10094714,10094714,16039740,16039740,16039740,16039740,16039740,16039740,10278745,10278745,10278745,10278745,10278745,10278745,9283590,9283590,9283590,9283590,9283590,9283590,10888095,10888095,10888095,10888095,10888095,10888095,8563219,8563219,8563219,8563219,8563219,8563219,9971742,9971742,9971742,9971742,9971742,9971742,10062593,10062593,10062593,10062593,10062593,10062593,9517041,9517041,9517041,9517041,9517041,9517041,8621768,8621768,8621768,8621768,8621768,8621768,9538332,9538332,9538332,9538332,9538332,9538332,11443471,11443471,11443471,11443471,11443471,11443471,26561996,26561996,26561996,26561996,26561996,26561996,6638059,6638059,6638059,6638059,6638059,6638059,4944342,4944342,4944342,4944342,4944342,4944342,7163147,7163147,7163147,7163147,7163147,7163147,5615248,5615248,5615248,5615248,5615248,5615248,5656794,5656794,5656794,5656794,5656794,5656794,4300432,4300432,4300432,4300432,4300432,4300432,14977284,14977284,14977284,14977284,14977284,14977284,20597730,20597730,20597730,20597730,20597730,20597730,7143729,7143729,7143729,7143729,7143729,7143729,5031729,5031729,5031729,5031729,5031729,5031729,7200644,7200644,7200644,7200644,7200644,7200644,6868769,6868769,6868769,6868769,6868769,6868769,10481781,10481781,10481781,10481781,10481781,10481781,9343503,9343503,9343503,9343503,9343503,9343503,4256754,4256754,4256754,4256754,4256754,4256754,6506072,6506072,6506072,6506072,6506072,6506072,7153863,7153863,7153863,7153863,7153863,7153863,5802099,5802099,5802099,5802099,5802099,5802099,5174665,5174665,5174665,5174665,5174665,5174665,10263895,10263895,10263895,10263895,10263895,10263895,20705343,20705343,20705343,20705343,20705343,20705343,38423097,38423097,38423097,38423097,38423097,38423097,7844787,7844787,7844787,7844787,7844787,7844787,6122104,6122104,6122104,6122104,6122104,6122104,6410347,6410347,6410347,6410347,6410347,6410347,8936774,8936774,8936774,8936774,8936774,8936774
Raw Read Length,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
Consolidated Read Count,389715,389715,389715,389715,389715,389715,670890,670890,670890,670890,670890,670890,561802,561802,561802,561802,561802,561802,764682,764682,764682,764682,764682,764682,455408,455408,455408,455408,455408,455408,605675,605675,605675,605675,605675,605675,422744,422744,422744,422744,422744,422744,575256,575256,575256,575256,575256,575256,484146,484146,484146,484146,484146,484146,806409,806409,806409,806409,806409,806409,732332,732332,732332,732332,732332,732332,439136,439136,439136,439136,439136,439136,1040513,1040513,1040513,1040513,1040513,1040513,1186696,1186696,1186696,1186696,1186696,1186696,701248,701248,701248,701248,701248,701248,911925,911925,911925,911925,911925,911925,1305633,1305633,1305633,1305633,1305633,1305633,2527489,2527489,2527489,2527489,2527489,2527489,1232940,1232940,1232940,1232940,1232940,1232940,1481574,1481574,1481574,1481574,1481574,1481574,884951,884951,884951,884951,884951,884951,1384690,1384690,1384690,1384690,1384690,1384690,901845,901845,901845,901845,901845,901845,860044,860044,860044,860044,860044,860044,834765,834765,834765,834765,834765,834765,1451063,1451063,1451063,1451063,1451063,1451063,703826,703826,703826,703826,703826,703826,1405558,1405558,1405558,1405558,1405558,1405558,279744,279744,279744,279744,279744,279744,670255,670255,670255,670255,670255,670255,442225,442225,442225,442225,442225,442225,975293,975293,975293,975293,975293,975293,362591,362591,362591,362591,362591,362591,472213,472213,472213,472213,472213,472213,450916,450916,450916,450916,450916,450916,413129,413129,413129,413129,413129,413129,335320,335320,335320,335320,335320,335320,1156441,1156441,1156441,1156441,1156441,1156441,613663,613663,613663,613663,613663,613663,,,,,,,413031,413031,413031,413031,413031,413031,363752,363752,363752,363752,363752,363752,449629,449629,449629,449629,449629,449629,491703,491703,491703,491703,491703,491703
Consolidated Read %,5.05,5.05,5.05,5.05,5.05,5.05,6.35,6.35,6.35,6.35,6.35,6.35,5.12,5.12,5.12,5.12,5.12,5.12,5.03,5.03,5.03,5.03,5.03,5.03,3.93,3.93,3.93,3.93,3.93,3.93,5.99,5.99,5.99,5.99,5.99,5.99,2.63,2.63,2.63,2.63,2.63,2.63,5.59,5.59,5.59,5.59,5.59,5.59,5.21,5.21,5.21,5.21,5.21,5.21,7.40,7.40,7.40,7.40,7.40,7.40,8.55,8.55,8.55,8.55,8.55,8.55,4.40,4.40,4.40,4.40,4.40,4.40,10.34,10.34,10.34,10.34,10.34,10.34,12.46,12.46,12.46,12.46,12.46,12.46,8.13,8.13,8.13,8.13,8.13,8.13,9.56,9.56,9.56,9.56,9.56,9.56,11.40,11.40,11.40,11.40,11.40,11.40,9.51,9.51,9.51,9.51,9.51,9.51,18.57,18.57,18.57,18.57,18.57,18.57,29.96,29.96,29.96,29.96,29.96,29.96,12.35,12.35,12.35,12.35,12.35,12.35,24.65,24.65,24.65,24.65,24.65,24.65,15.94,15.94,15.94,15.94,15.94,15.94,19.99,19.99,19.99,19.99,19.99,19.99,5.57,5.57,5.57,5.57,5.57,5.57,7.04,7.04,7.04,7.04,7.04,7.04,9.85,9.85,9.85,9.85,9.85,9.85,27.93,27.93,27.93,27.93,27.93,27.93,3.88,3.88,3.88,3.88,3.88,3.88,9.75,9.75,9.75,9.75,9.75,9.75,4.21,4.21,4.21,4.21,4.21,4.21,10.43,10.43,10.43,10.43,10.43,10.43,8.51,8.51,8.51,8.51,8.51,8.51,7.25,7.25,7.25,7.25,7.25,7.25,6.30,6.30,6.30,6.30,6.30,6.30,7.12,7.12,7.12,7.12,7.12,7.12,6.48,6.48,6.48,6.48,6.48,6.48,11.26,11.26,11.26,11.26,11.26,11.26,2.96,2.96,2.96,2.96,2.96,2.96,,,,,,,5.26,5.26,5.26,5.26,5.26,5.26,5.94,5.94,5.94,5.94,5.94,5.94,7.01,7.01,7.01,7.01,7.01,7.01,5.50,5.50,5.50,5.50,5.50,5.50
Trimmed Read Count,99564,285676,286024,129407,130588,131045,179563,504557,505369,230022,231712,232549,137484,387043,387596,177501,179014,179703,191131,554936,555894,242305,243922,245056,118410,334411,334908,154313,155850,156452,142086,398215,398671,188504,190247,191350,116563,326908,327359,148944,149979,150549,155667,431641,432337,197809,199096,200013,124016,365710,366231,158567,159615,160243,189355,513699,514243,241742,244184,246008,175864,539163,539894,222545,223940,225051,129022,343698,344129,163014,164435,165131,242715,694611,695544,309503,311937,313537,49963,398761,399027,72120,73679,74306,162238,496476,497233,207505,209284,210492,217689,624354,625462,275626,277092,278779,63308,459280,459671,82324,84489,85820,357166,993595,994859,461170,464512,469059,330841,733521,734216,431523,433297,435442,406611,857667,858200,516501,517361,520144,246865,641449,642139,316283,318063,319563,286026,779437,780310,381727,383117,384800,312423,576231,576535,407952,409121,410940,277876,557927,558267,362814,363758,365214,246690,500445,500805,325481,327952,329950,386757,810467,811010,519700,522470,525344,207860,462826,463237,272011,273718,275266,393022,816097,816755,497926,498786,501395,94589,226041,226247,120992,121722,122067,120423,426904,427340,162649,164095,165352,99434,322536,323103,129013,130470,130998,159363,558603,559313,216724,218285,219334,80000,260339,260704,104069,105367,105888,109819,335742,336124,144055,145603,146445,91479,293447,293799,122437,124001,124776,85857,265861,266218,117188,118388,119206,87519,254313,254699,112081,112992,113401,271178,759427,760477,344415,346708,348854,160516,469943,470655,203922,205250,205844,,,,,,,109312,272655,272969,141998,143081,143643,86189,255657,256011,112894,113909,114412,137884,326813,327106,178069,179321,180038,127797,354151,354643,162836,164138,164632
Trimmed Ave Read Length,34.9853,35.8717,36.0344,52.4444,53.2184,53.8525,35.2555,37.1301,37.5676,53.9808,54.8589,55.5716,36.2277,36.6949,37.0775,59.4443,61.2565,62.9701,36.0699,37.2052,37.6499,56.7583,57.7392,58.4411,35.1529,36.2488,36.5383,53.8668,54.7591,55.5731,34.2296,34.8699,35.0553,53.078,54.6755,56.3566,35.7389,37.0597,37.3094,55.2258,56.0779,56.6341,36.1688,37.0604,37.44,58.0166,59.235,60.2561,36.1467,36.6071,36.8181,56.6263,57.5964,58.3796,36.8869,37.1692,37.4732,66.4668,69.6474,72.9838,35.9028,36.6197,36.8355,55.4322,56.2895,56.8529,36.0196,37.1369,37.4547,56.3929,57.3589,58.2895,35.3982,36.5878,36.9667,54.7556,55.9657,57.0245,34.3914,29.0784,29.3785,54.8141,56.1511,57.905,35.3921,36.4922,36.7907,53.5621,54.3877,54.9532,36.3209,37.6734,38.2446,57.0245,57.9942,58.5421,37.0026,31.5586,31.8724,60.541,61.2413,62.0172,35.1574,36.6597,37.1416,54.2837,55.4325,56.1479,34.7869,37.3782,37.6335,54.6443,56.0538,57.1298,28.8685,36.2328,36.7489,31.3653,31.4195,31.4165,34.5044,36.4323,36.5769,51.1162,52.0943,52.8935,29.2891,33.4266,34.2723,33.7329,33.9467,34.0854,30.3465,35.7089,36.0122,36.9809,37.2569,37.459,31.1267,35.949,36.2078,38.0471,38.3231,38.5265,36.6978,37.6845,37.8715,72.9577,77.7669,82.5,29.9957,34.0361,34.2864,35.9827,36.1827,36.3,34.3227,35.8108,36.0212,53.5786,55.3808,57.1402,30.111,36.2659,36.3238,33.657,33.7579,33.7825,34.4795,36.6257,36.9361,51.1157,51.9668,52.8405,29.8085,32.3014,32.5417,36.7698,36.998,37.2123,35.2888,35.7528,36.1034,53.8158,54.4493,54.9554,29.5508,31.6097,31.754,36.4803,36.7822,37.0076,34.3342,34.8662,35.21,51.253,51.9256,52.4626,34.0385,35.0087,35.1715,49.4858,50.0915,50.6758,33.6341,34.2102,34.5763,48.54,49.1872,49.7904,32.1144,33.4526,33.7467,43.6865,44.1948,44.643,35.318,36.1473,36.4769,54.0988,55.0366,55.7225,35.4086,37.2683,37.5479,54.331,55.4054,56.2381,35.1648,36.9812,37.5111,53.6977,54.5414,55.2473,,,,,,,35.1627,34.8675,35.0536,55.1189,56.6784,58.359,34.16,34.4754,34.7072,49.5438,50.2585,50.9607,36.2766,37.3682,37.5749,63.9435,66.8774,69.7159,36.8295,37.4233,37.6366,61.3215,63.337,65.1575
