  ,SFHH008A,SFHH008B,SFHH008C,SFHH008D,SFHH008E,SFHH008F
Paired Raw Read Count,145103,157899,106660,154938,171398,225802
Quality Read Count,143524,156110,105214,152851,169087,221591
Format Read Count,111094,121617,79937,114799,128701,172487
Consolidated Read Count,71290,70472,54578,70730,71723,38233
Trimmed Read Count,44939,40156,34492,40778,38412,5500
Trimmed Ave Read Length,86.3214,84.6446,83.6742,84.1797,82.0609,55.4096
Not phiX Count,44939,40156,34492,40778,38412,5500
Not Salmonella Count,44716,39905,34283,40539,38081,5228
Not Burkholderia Count,44641,39785,34193,40429,37946,5105
HG38 Count,39243,33656,29143,34363,31159,97
NOT HG38 Count,5398,6129,5050,6066,6787,5008
