  ,SFHH009A,SFHH009B,SFHH009C,SFHH009D,SFHH009E,SFHH009F,SFHH009G,SFHH009H,SFHH009I,SFHH009J,SFHH009L,SFHH009M,SFHH009N
Paired Raw Read Count,39309234,49222695,26764263,28219012,8472209,33060628,25812925,39190229,28296331,30184411,26276907,41581444,32697631
Quality Read Count,34168203,42726075,21403475,24641993,6644653,27452729,22194905,32363855,24499795,27298821,22604410,34693199,27098533
Quality % Read Count,86.92,86.80,79.97,87.32,78.42,83.03,85.98,82.58,86.58,90.44,86.02,83.43,82.87
Format Read Count,23882109,32937488,17847667,19418925,5166933,23011291,18257471,26936202,18654709,12333336,17559494,27073635,22372934
Format % Read Count,69.89,77.08,83.38,78.80,77.76,83.82,82.25,83.22,76.14,45.17,77.68,78.03,82.56
Trimmed1 Read Count,23879468,32934797,17847634,19418147,5166903,23011120,18257382,26935592,18654623,12333084,17559186,27073520,22372838
Trimmed1 % Read Count,99.98,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99
Trimmed1 Ave R1 Read Length,142.593,143.425,147.327,141.058,149.785,145.718,145.294,145.432,144.231,143.413,144.984,144.299,145.797
Trimmed1 Ave R2 Read Length,135.407,135.85,136.872,134.437,140.019,137.672,137.297,137.301,136.623,135.817,137.132,136.84,137.634
Trimmed3 Read Count,10501553,18287949,12622476,10183427,2234323,10333279,10170998,10706475,11775795,6230275,8423925,19746594,15594271
Trimmed3 % Read Count,43.97,55.52,70.72,52.44,43.24,44.90,55.70,39.74,63.12,50.51,47.97,72.93,69.70
Trimmed3 Ave R1 Read Length,98.1439,98.4846,86.9077,69.7113,106.527,85.0595,85.7556,77.1996,84.8886,76.0032,94.5864,88.4895,95.7188
Trimmed3 Ave R2 Read Length,75.0446,76.5545,79.7497,74.3571,79.079,76.4682,77.1775,79.223,76.3128,73.9886,74.0044,80.3497,80.0256
phiX Read Count,3,2,2,0,1,1,1,1,1,0,0,0,4
phiX % Read Count,0,0,0,0,0,0,0,0,0,0,0,0,0
Not phiX Paired R1 Read Count,,,,,,,,,,,,,
Not phiX Paired R2 Read Count,,,,,,,,,,,,,
HG38 Read Count,7100206,12274933,8359811,6002037,1477168,6505829,6616885,6495834,7796499,3807640,,,
HG38 % Read Count,67.61,67.12,66.22,58.93,66.11,62.95,65.05,60.67,66.20,61.11,,,
Not hg38 Paired R1 Read Count,,,,,,,,,,,,,
Not hg38 Paired R2 Read Count,,,,,,,,,,,,,
Viral Read Count,20,48,26,13,8,13,19,49,,17,,,
Viral % Read Count,0,0,0,0,0,0,0,0,,0,,,
Not viral Paired R1 Read Count,,,,,,,,,,,,,
Not viral Paired R2 Read Count,,,,,,,,,,,,,
