  ,SFHH009A,SFHH009B,SFHH009C,SFHH009D,SFHH009E,SFHH009F,SFHH009G,SFHH009H,SFHH009I,SFHH009J,SFHH009L,SFHH009M,SFHH009N
Paired Raw Read Count,39309234,49222695,26764263,28219012,8472209,33060628,25812925,39190229,28296331,30184411,26276907,41581444,32697631
Format Read Count,27794288,37869063,22122597,22168923,6532937,27366840,20988412,31906579,21426697,14091547,20231021,32316413,26781858
Format % Read Count,70.70,76.93,82.65,78.56,77.11,82.77,81.30,81.41,75.72,46.68,76.99,77.71,81.90
Quality Read Count,27774101,37840692,22101224,22155231,6518307,27334476,20973507,31828371,21411300,14076343,20209229,32279008,26748515
Quality % Read Count,99.92,99.92,99.90,99.93,99.77,99.88,99.92,99.75,99.92,99.89,99.89,99.88,99.87
Adapter Trim Read Count,27575529,37626873,21863171,22067593,6423380,27120021,20857169,31587025,21304369,14017663,20085073,31896274,26427631
Adapter Trim % Read Count,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99
Adapter Trim Ave R1 Read Length,120.66,125.391,119.232,111.046,128.165,122.07,124.204,121.208,123.211,121.188,123.888,128.09,132.299
Adapter Trim Ave R2 Read Length,79.1605,76.539,70.9144,74.5294,87.774,78.9323,75.7851,83.1721,72.8105,79.0727,77.6874,70.3684,72.0388
Poly Trim Read Count,9424219,15731669,10821338,8292419,2080606,9052385,8950137,10108447,9619435,4768250,7345137,16104823,13015095
Poly Trim % Read Count,34.17,41.80,49.49,37.57,32.39,33.37,42.91,32.00,45.15,34.01,36.57,50.49,49.24
Poly Trim Ave R1 Read Length,94.9627,94.5341,80.9955,66.351,95.2844,79.2251,81.2287,69.4565,81.2112,74.5915,89.1007,85.8809,92.2896
Poly Trim Ave R2 Read Length,57.8614,58.3156,57.7133,55.4032,56.3247,58.4675,59.6984,57.3641,57.9517,56.8302,57.2433,58.9577,59.6806
hg38 aligned Count,13140389,21775884,14667413,10174390,2782959,11510812,12143677,11747610,13371141,6178081,9737664,22171391,18444532
hg38 aligned %,139.43,138.42,135.54,122.69,133.75,127.15,135.68,116.21,139.00,129.56,132.57,137.66,141.71
hg38 unaligned Count,5708049,9687454,6975263,6410448,1378253,6593958,5756597,8469284,5867729,3358419,4952610,10038255,7585658
hg38 unaligned %,60.56,61.57,64.45,77.30,66.24,72.84,64.31,83.78,60.99,70.43,67.42,62.33,58.28
hg38 deduped Count,9680631,15429499,11656853,4253583,1512863,9425803,9606084,9270700,8666941,3589862,6666657,16595716,16426608
hg38 deduped aligned %,73.67,70.85,79.47,41.80,54.36,81.88,79.10,78.91,64.81,58.10,68.46,74.85,89.05
