Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR13194429,RNA-Seq,301,22315158430,PRJNA682434,SAMN16989531,8225974547,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX9628641,GSM4955754,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM4955754,multiplexed PBMCs,SRP295709,mock- and IAV-infected
SRR13899639,RNA-Seq,121,507300970,PRJNA682434,SAMN18214306,185728515,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX10279292,GSM5145090,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145090,PBMCs,SRP295709,mock
SRR13899640,RNA-Seq,121,906564791,PRJNA682434,SAMN18214305,330514983,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX10279293,GSM5145091,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145091,PBMCs,SRP295709,mock
SRR13899641,RNA-Seq,121,1212268508,PRJNA682434,SAMN18214304,467065117,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10279294,GSM5145092,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145092,PBMCs,SRP295709,mock
SRR13899642,RNA-Seq,121,1333550801,PRJNA682434,SAMN18214303,489309322,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10279295,GSM5145093,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145093,PBMCs,SRP295709,mock
SRR13899643,RNA-Seq,121,1575635864,PRJNA682434,SAMN18214302,617209065,peripheral blood mononuclear cells,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10279296,GSM5145094,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145094,PBMCs,SRP295709,mock
SRR13899644,RNA-Seq,121,2816137181,PRJNA682434,SAMN18214301,1077465389,peripheral blood mononuclear cells,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10279297,GSM5145095,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145095,PBMCs,SRP295709,mock
SRR13899645,RNA-Seq,121,2448119069,PRJNA682434,SAMN18214300,798724893,peripheral blood mononuclear cells,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX10279298,GSM5145096,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145096,PBMCs,SRP295709,mock
SRR13899646,RNA-Seq,121,1607403809,PRJNA682434,SAMN18214299,595131882,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX10279299,GSM5145097,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145097,PBMCs,SRP295709,mock
SRR13899647,RNA-Seq,121,1792577732,PRJNA682434,SAMN18214298,653113722,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10279300,GSM5145098,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145098,PBMCs,SRP295709,mock
SRR13899648,RNA-Seq,121,735563719,PRJNA682434,SAMN18214297,277560679,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX10279301,GSM5145099,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145099,PBMCs,SRP295709,mock
SRR13899649,RNA-Seq,121,1755178810,PRJNA682434,SAMN18214296,652234890,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX10279302,GSM5145100,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145100,PBMCs,SRP295709,flu-infected
SRR13899650,RNA-Seq,121,360514660,PRJNA682434,SAMN18214295,145726517,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10279303,GSM5145101,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145101,PBMCs,SRP295709,flu-infected
SRR13899651,RNA-Seq,121,1676529899,PRJNA682434,SAMN18214294,637082585,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX10279304,GSM5145102,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145102,PBMCs,SRP295709,flu-infected
SRR13899652,RNA-Seq,121,633239222,PRJNA682434,SAMN18214293,223421984,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX10279305,GSM5145103,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145103,PBMCs,SRP295709,flu-infected
SRR13899653,RNA-Seq,121,1833829052,PRJNA682434,SAMN18214292,638746518,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10279306,GSM5145104,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145104,PBMCs,SRP295709,flu-infected
SRR13899654,RNA-Seq,121,1446668982,PRJNA682434,SAMN18214433,519263227,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX10279307,GSM5145105,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145105,PBMCs,SRP295709,flu-infected
SRR13899655,RNA-Seq,121,2106839053,PRJNA682434,SAMN18214432,820729343,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX10279308,GSM5145106,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145106,PBMCs,SRP295709,flu-infected
SRR13899656,RNA-Seq,121,1572243508,PRJNA682434,SAMN18214431,589614690,peripheral blood mononuclear cells,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10279309,GSM5145107,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145107,PBMCs,SRP295709,flu-infected
SRR13899657,RNA-Seq,121,930990819,PRJNA682434,SAMN18214430,339393026,peripheral blood mononuclear cells,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX10279310,GSM5145108,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145108,PBMCs,SRP295709,flu-infected
SRR13899658,RNA-Seq,121,504989144,PRJNA682434,SAMN18214429,189824090,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10279311,GSM5145109,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145109,PBMCs,SRP295709,flu-infected
SRR13899659,RNA-Seq,121,1561924386,PRJNA682434,SAMN18214428,564714959,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX10279312,GSM5145110,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145110,PBMCs,SRP295709,flu-infected
SRR13899660,RNA-Seq,121,1542987765,PRJNA682434,SAMN18214427,644837253,peripheral blood mononuclear cells,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX10279337,GSM5145111,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145111,PBMCs,SRP295709,flu-infected
SRR13899661,RNA-Seq,121,387814196,PRJNA682434,SAMN18214426,134072862,peripheral blood mononuclear cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10279338,GSM5145112,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145112,PBMCs,SRP295709,flu-infected
SRR13899662,RNA-Seq,121,1979255564,PRJNA682434,SAMN18214425,750898016,peripheral blood mononuclear cells,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX10279339,GSM5145113,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145113,PBMCs,SRP295709,flu-infected
SRR13899663,RNA-Seq,121,2206378251,PRJNA682434,SAMN18214424,815031492,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10279340,GSM5145114,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145114,PBMCs,SRP295709,flu-infected
SRR13899664,RNA-Seq,121,1450864536,PRJNA682434,SAMN18214423,537231180,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX10279341,GSM5145115,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145115,PBMCs,SRP295709,flu-infected
SRR13899665,RNA-Seq,121,1912020462,PRJNA682434,SAMN18214422,675148189,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX10279342,GSM5145116,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145116,PBMCs,SRP295709,flu-infected
SRR13899666,RNA-Seq,121,2706854821,PRJNA682434,SAMN18214421,1040465514,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX10279343,GSM5145117,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145117,PBMCs,SRP295709,flu-infected
SRR13899667,RNA-Seq,121,1461176640,PRJNA682434,SAMN18214420,579213009,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX10279344,GSM5145118,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145118,PBMCs,SRP295709,flu-infected
SRR13899668,RNA-Seq,121,734974449,PRJNA682434,SAMN18214414,249525098,peripheral blood mononuclear cells,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX10279345,GSM5145119,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145119,PBMCs,SRP295709,flu-infected
SRR13899669,RNA-Seq,121,1070352569,PRJNA682434,SAMN18214413,405109338,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10279346,GSM5145120,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145120,PBMCs,SRP295709,flu-infected
SRR13899670,RNA-Seq,121,977345435,PRJNA682434,SAMN18214419,359960484,peripheral blood mononuclear cells,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX10279347,GSM5145121,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145121,PBMCs,SRP295709,flu-infected
SRR13899671,RNA-Seq,121,1195093768,PRJNA682434,SAMN18214418,438597956,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX10279348,GSM5145122,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145122,PBMCs,SRP295709,flu-infected
SRR13899672,RNA-Seq,121,125749371,PRJNA682434,SAMN18214417,51500393,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10279349,GSM5145123,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145123,PBMCs,SRP295709,flu-infected
SRR13899673,RNA-Seq,121,1021977374,PRJNA682434,SAMN18214416,368100577,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX10279350,GSM5145124,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145124,PBMCs,SRP295709,flu-infected
SRR13899674,RNA-Seq,121,1382325054,PRJNA682434,SAMN18214415,502553411,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX10279351,GSM5145125,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145125,PBMCs,SRP295709,flu-infected
SRR13899675,RNA-Seq,121,728933282,PRJNA682434,SAMN18214412,262993841,peripheral blood mononuclear cells,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10279289,GSM5145126,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145126,PBMCs,SRP295709,flu-infected
SRR13899676,RNA-Seq,121,594569558,PRJNA682434,SAMN18214411,243914621,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX10279290,GSM5145127,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145127,PBMCs,SRP295709,flu-infected
SRR13899677,RNA-Seq,121,1677176765,PRJNA682434,SAMN18214410,649345887,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10279291,GSM5145128,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145128,PBMCs,SRP295709,flu-infected
SRR13899678,RNA-Seq,121,1698114363,PRJNA682434,SAMN18214261,668313169,peripheral blood mononuclear cells,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX10279352,GSM5145129,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145129,PBMCs,SRP295709,flu-infected
SRR13899679,RNA-Seq,121,699682984,PRJNA682434,SAMN18214355,278317781,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX10279353,GSM5145130,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145130,PBMCs,SRP295709,flu-infected
SRR13899680,RNA-Seq,121,1530829806,PRJNA682434,SAMN18214354,561639272,peripheral blood mononuclear cells,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX10279354,GSM5145131,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145131,PBMCs,SRP295709,flu-infected
SRR13899681,RNA-Seq,121,1414530051,PRJNA682434,SAMN18214353,543100082,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX10279355,GSM5145132,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145132,PBMCs,SRP295709,flu-infected
SRR13899682,RNA-Seq,121,1941766860,PRJNA682434,SAMN18214352,719034612,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX10279356,GSM5145133,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145133,PBMCs,SRP295709,flu-infected
SRR13899683,RNA-Seq,121,1017692401,PRJNA682434,SAMN18214351,409340186,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX10279357,GSM5145134,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145134,PBMCs,SRP295709,flu-infected
SRR13899684,RNA-Seq,121,1069231867,PRJNA682434,SAMN18214350,383064536,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX10279358,GSM5145135,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145135,PBMCs,SRP295709,flu-infected
SRR13899685,RNA-Seq,121,1332050522,PRJNA682434,SAMN18214349,488549553,peripheral blood mononuclear cells,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10279359,GSM5145136,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145136,PBMCs,SRP295709,flu-infected
SRR13899686,RNA-Seq,121,936370237,PRJNA682434,SAMN18214348,355821915,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX10279360,GSM5145137,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145137,PBMCs,SRP295709,flu-infected
SRR13899687,RNA-Seq,121,884571589,PRJNA682434,SAMN18214347,345044017,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX10279313,GSM5145138,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145138,PBMCs,SRP295709,flu-infected
SRR13899688,RNA-Seq,121,547299214,PRJNA682434,SAMN18214346,216633537,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX10279314,GSM5145139,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145139,PBMCs,SRP295709,flu-infected
SRR13899689,RNA-Seq,121,983308073,PRJNA682434,SAMN18214345,368691702,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX10279315,GSM5145140,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145140,PBMCs,SRP295709,flu-infected
SRR13899690,RNA-Seq,121,1687694327,PRJNA682434,SAMN18214344,619029145,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX10279316,GSM5145141,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145141,PBMCs,SRP295709,flu-infected
SRR13899691,RNA-Seq,121,71214187,PRJNA682434,SAMN18214363,25861708,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX10279317,GSM5145142,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145142,PBMCs,SRP295709,flu-infected
SRR13899692,RNA-Seq,121,704502414,PRJNA682434,SAMN18214362,254012223,peripheral blood mononuclear cells,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10279318,GSM5145143,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145143,PBMCs,SRP295709,flu-infected
SRR13899693,RNA-Seq,121,1174076915,PRJNA682434,SAMN18214361,440282384,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX10279319,GSM5145144,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145144,PBMCs,SRP295709,flu-infected
SRR13899694,RNA-Seq,121,7628566,PRJNA682434,SAMN18214360,3349479,peripheral blood mononuclear cells,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX10279320,GSM5145145,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145145,PBMCs,SRP295709,flu-infected
SRR13899695,RNA-Seq,121,182081405,PRJNA682434,SAMN18214359,71933400,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX10279321,GSM5145146,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145146,PBMCs,SRP295709,flu-infected
SRR13899696,RNA-Seq,121,431194632,PRJNA682434,SAMN18214358,147347613,peripheral blood mononuclear cells,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX10279322,GSM5145147,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145147,PBMCs,SRP295709,flu-infected
SRR13899697,RNA-Seq,121,411347486,PRJNA682434,SAMN18214357,153000860,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX10279323,GSM5145148,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145148,PBMCs,SRP295709,flu-infected
SRR13899698,RNA-Seq,121,616804397,PRJNA682434,SAMN18214356,228421605,peripheral blood mononuclear cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX10279324,GSM5145149,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-11-26T00:00:00Z,GSM5145149,PBMCs,SRP295709,flu-infected
