  ,SFHH011AA,SFHH011AB,SFHH011AC,SFHH011AD,SFHH011AE,SFHH011AF,SFHH011AG,SFHH011AH,SFHH011AI,SFHH011AJ,SFHH011AK,SFHH011AL,SFHH011AM,SFHH011AN,SFHH011AO,SFHH011AP,SFHH011AQ,SFHH011AR,SFHH011A,SFHH011AS,SFHH011AT,SFHH011AU,SFHH011AV,SFHH011AW,SFHH011AX,SFHH011AY,SFHH011AZ,SFHH011BA,SFHH011BB,SFHH011BC,SFHH011BD,SFHH011BE,SFHH011BF,SFHH011BG,SFHH011BH,SFHH011BI,SFHH011BJ,SFHH011BK,SFHH011BL,SFHH011BM,SFHH011BN,SFHH011BO,SFHH011BP,SFHH011BQ,SFHH011BR,SFHH011B,SFHH011BS,SFHH011BT,SFHH011BU,SFHH011BV,SFHH011BW,SFHH011BX,SFHH011BY,SFHH011BZ,SFHH011CA,SFHH011CB,SFHH011CC,SFHH011CD,SFHH011CE,SFHH011CF,SFHH011CG,SFHH011CH,SFHH011C,SFHH011D,SFHH011E,SFHH011F,SFHH011G,SFHH011H,SFHH011I,SFHH011J,SFHH011K,SFHH011L,SFHH011M,SFHH011N,SFHH011O,SFHH011P,SFHH011Q,SFHH011R,SFHH011S,SFHH011T,SFHH011U,SFHH011V,SFHH011W,SFHH011X,SFHH011Y,SFHH011Z
Paired Raw Read Count,11511397,8142210,8180462,10296694,9285744,10078326,11635433,8846214,10630989,8434680,6764653,5826567,6660922,11148087,9279562,10634029,12037577,10977350,10193695,10305586,3584992,8443045,11611860,2853190,6401309,6452799,9006359,6242041,6430568,10490337,12690964,9128559,7559105,3146044,7063949,11212375,11034649,7675429,3992633,8703156,8133210,4285145,3996213,11761538,10013144,7536,9442823,9158809,11836641,11010127,10881452,8998492,8077809,6448144,12757684,11643282,12189073,11139889,10066191,11892853,11362719,11225832,7813336,11133909,9775006,11998553,7422754,8175180,8180839,10291039,7042762,8767420,7118568,6742820,10141183,10877259,6263754,8014479,3510553,6952847,11962381,6025225,10113465,12445268,9772474,7862151
Quality Read Count,9828162,7272839,7481788,9571478,8607405,9150188,10617113,7974826,9567053,7579781,6073057,5048265,5946820,9937453,8368628,9646986,10729642,9739827,9331626,9517839,3162186,7456544,10484007,2260833,5678327,5687291,8104291,5578876,5844544,9604067,10402629,8373709,6850720,2682933,6361532,10241133,10033076,6837033,3483867,7853643,7336970,3789178,3511498,10565382,9232280,5869,8653465,8176345,10750465,9884876,9772279,8076393,7272219,5790623,11391883,10738161,10993882,10189777,8972511,10787049,10429080,10277650,7079068,9807847,8822880,11074166,6619563,7451545,7366935,9601637,6282482,8150167,6298625,6137803,9212568,9752374,5602731,6959978,3048053,6124926,10922936,5560977,9258664,11284400,8953891,6848401
Quality % Read Count,85.37,89.32,91.45,92.95,92.69,90.79,91.24,90.14,89.99,89.86,89.77,86.64,89.27,89.14,90.18,90.71,89.13,88.72,91.54,92.35,88.20,88.31,90.28,79.23,88.70,88.13,89.98,89.37,90.88,91.55,81.96,91.73,90.62,85.27,90.05,91.33,90.92,89.07,87.25,90.23,90.21,88.42,87.87,89.82,92.20,77.87,91.64,89.27,90.82,89.77,89.80,89.75,90.02,89.80,89.29,92.22,90.19,91.47,89.13,90.70,91.78,91.55,90.60,88.08,90.25,92.29,89.17,91.14,90.05,93.30,89.20,92.95,88.48,91.02,90.84,89.65,89.44,86.84,86.82,88.09,91.31,92.29,91.54,90.67,91.62,87.10
Trimmed1 Read Count,9822373,7269101,7476299,9569941,8605308,9147328,10612108,7963344,9552832,7565124,6064719,5044779,5942570,9934685,8352657,9633735,10718318,9726912,9327001,9512778,3160893,7449585,10471174,2260149,5676153,5679390,8096676,5567939,5827754,9599430,10399518,8369717,6845335,2682236,6361187,10232851,8952558,6836150,3483206,7848063,7330718,3782068,3487569,10563161,9228144,5864,8653210,8173165,10742771,9878898,9765931,8071438,7268626,5785774,11383247,10733045,10984333,10184733,8963838,10778583,10421704,10269882,7077419,9807157,8819119,11073752,6586440,7447502,7360487,9598319,6281500,8146823,6293242,6135074,9203097,9746206,5596774,6959348,3043627,6111410,10920098,5321028,9254969,11274903,8949959,6847065
Trimmed1 % Read Count,99.94,99.94,99.92,99.98,99.97,99.96,99.95,99.85,99.85,99.80,99.86,99.93,99.92,99.97,99.80,99.86,99.89,99.86,99.95,99.94,99.95,99.90,99.87,99.96,99.96,99.86,99.90,99.80,99.71,99.95,99.97,99.95,99.92,99.97,99.99,99.91,89.23,99.98,99.98,99.92,99.91,99.81,99.31,99.97,99.95,99.91,99.99,99.96,99.92,99.93,99.93,99.93,99.95,99.91,99.92,99.95,99.91,99.95,99.90,99.92,99.92,99.92,99.97,99.99,99.95,99.99,99.49,99.94,99.91,99.96,99.98,99.95,99.91,99.95,99.89,99.93,99.89,99.99,99.85,99.77,99.97,95.68,99.96,99.91,99.95,99.98
Trimmed1 Ave R1 Read Length,145.531,146.025,145.419,148.121,146.441,145.96,145.582,146.262,145.566,146.948,145.429,140.309,141.7,148.635,144.93,146.003,144.631,145.543,145.612,144.976,146.654,144.658,146.159,146.07,149.588,146.381,144.537,145.326,144.787,145.141,146.465,146.142,146.357,147.22,149.649,146.232,145.214,148.888,148.73,146.76,145.906,146.393,144.481,148.172,146.318,146.961,150.121,145.652,146.066,145.676,145.317,146.261,145.734,146.189,146.005,145.674,145.689,146.066,144.742,145.47,145.678,146.304,145.905,149.591,144.822,149.954,144.469,145.333,146.205,148.217,150.011,147.562,147.436,146.867,146.724,144.636,145.088,149.992,144.566,145.281,146.293,146.175,146.38,145.075,145.297,148.916
Trimmed1 Ave R2 Read Length,127.613,127.736,127.434,128.199,127.602,127.393,127.836,128.104,127.56,128.061,127.531,125.091,126.268,128.537,127.51,127.761,126.744,127.625,127.664,127.221,127.804,127.104,128.064,128.147,129.25,127.738,127.413,127.673,127.446,127.747,128.525,127.801,128.163,128.606,129.103,127.899,127.736,128.582,128.66,128.173,127.824,128.08,127.53,128.399,128.092,128.487,129.308,128.405,128.013,128.377,128.064,128.309,128.39,128.314,127.783,127.823,127.783,128.139,127.379,127.638,127.727,127.498,127.92,129.249,127.705,129.412,127.712,127.598,127.513,128.444,129.603,128.153,128.428,127.974,128.017,127.112,127.403,129.422,127.248,127.989,127.837,128.072,127.931,127.461,127.093,128.468
Trimmed3 Read Count,7409801,5099146,5348602,7953809,6896879,6827094,7723279,5178733,6944093,4478368,4529339,3969345,4437901,6717223,5627660,6155915,7879132,7226890,6998065,7577672,2157356,4714783,6945645,1541767,3839483,3929626,6020184,3907393,3658703,6631665,6900185,6361446,4395612,2014518,4833088,7920235,6639841,5459129,2454074,5556812,5226664,2311506,1892678,8037995,7251700,3836,6308994,4251637,7673386,6037620,6840988,5088787,4269113,3259746,7753284,7781018,8171906,7201342,6323445,7305703,7371822,7393290,5262842,7138834,6716812,8492144,4531122,5617353,4886566,8026492,3542687,6625655,3687666,4687205,6755464,6857946,4291603,4583542,1979664,3741042,8591539,4550072,7189429,7874827,7048838,5002934
Trimmed3 % Read Count,75.43,70.14,71.54,83.11,80.14,74.63,72.77,65.03,72.69,59.19,74.68,78.68,74.67,67.61,67.37,63.89,73.51,74.29,75.03,79.65,68.25,63.28,66.33,68.21,67.64,69.19,74.35,70.17,62.78,69.08,66.35,76.00,64.21,75.10,75.97,77.40,74.16,79.85,70.45,70.80,71.29,61.11,54.26,76.09,78.58,65.41,72.90,52.01,71.42,61.11,70.04,63.04,58.73,56.34,68.11,72.49,74.39,70.70,70.54,67.77,70.73,71.99,74.36,72.79,76.16,76.68,68.79,75.42,66.38,83.62,56.39,81.32,58.59,76.40,73.40,70.36,76.67,65.86,65.04,61.21,78.67,85.51,77.68,69.84,78.75,73.06
Trimmed3 Ave R1 Read Length,104.549,106.159,115.16,120.581,119.424,115.026,104.019,108.714,104.779,110.692,100.67,94.859,94.3178,108.531,107.393,107.261,101.211,102.986,105.493,111.691,117.111,119.833,110.788,100.41,122.145,103.13,99.648,106.651,103.327,106.415,102.52,109.351,107.518,107.241,119.746,110.348,103.136,113.616,105.982,106.688,104.274,110.854,103.884,108.707,111.902,101.769,125.913,101.187,108.667,95.5264,100.644,105.153,97.8489,107.939,116.191,109.375,108.124,110.381,111.993,109.138,111.897,121.539,106.161,117.442,103.464,118.808,98.1189,107.918,104.659,122.382,119.425,125.345,106.938,111.251,110.962,103.824,107.756,122.351,106.156,118.033,112.324,114.709,117.52,111.702,108.595,122.531
