  ,SFHH011AA,SFHH011AB,SFHH011AC,SFHH011AD,SFHH011AE,SFHH011AF,SFHH011AG,SFHH011AH,SFHH011AI,SFHH011AJ,SFHH011AK,SFHH011AL,SFHH011AM,SFHH011AN,SFHH011AO,SFHH011AP,SFHH011AQ,SFHH011A,SFHH011AR,SFHH011AS,SFHH011AT,SFHH011AU,SFHH011AV,SFHH011AW,SFHH011AX,SFHH011AY,SFHH011AZ,SFHH011BA,SFHH011BB,SFHH011BC,SFHH011BD,SFHH011BE,SFHH011BF,SFHH011BG,SFHH011BH,SFHH011BI,SFHH011BJ,SFHH011BK,SFHH011BL,SFHH011BM,SFHH011BN,SFHH011BO,SFHH011BP,SFHH011BQ,SFHH011B,SFHH011BR,SFHH011BS,SFHH011BT,SFHH011BU,SFHH011BV,SFHH011BW,SFHH011BX,SFHH011BY,SFHH011BZ,SFHH011CA,SFHH011CB,SFHH011CC,SFHH011CD,SFHH011CE,SFHH011CF,SFHH011CG,SFHH011CH,SFHH011C,SFHH011D,SFHH011E,SFHH011F,SFHH011G,SFHH011H,SFHH011I,SFHH011J,SFHH011K,SFHH011L,SFHH011M,SFHH011N,SFHH011O,SFHH011P,SFHH011Q,SFHH011R,SFHH011S,SFHH011T,SFHH011U,SFHH011V,SFHH011W,SFHH011X,SFHH011Y,SFHH011Z
Paired Raw Read Count,11511397,8142210,8180462,10296694,9285744,10078326,11635433,8846214,10630989,8434680,6764653,5826567,6660922,11148087,9279562,10634029,12037577,10193695,10977350,10305586,3584992,8443045,11611860,2853190,6401309,6452799,9006359,6242041,6430568,10490337,12690964,9128559,7559105,3146044,7063949,11212375,11034649,7675429,3992633,8703156,8133210,4285145,3996213,11761538,7536,10013144,9442823,9158809,11836641,11010127,10881452,8998492,8077809,6448144,12757684,11643282,12189073,11139889,10066191,11892853,11362719,11225832,7813336,11133909,9775006,11998553,7422754,8175180,8180839,10291039,7042762,8767420,7118568,6742820,10141183,10877259,6263754,8014479,3510553,6952847,11962381,6025225,10113465,12445268,9772474,7862151
Quality Read Count,9828162,7272839,7481788,9571478,8607405,9150188,10617113,7974826,9567053,7579781,6073057,5048265,5946820,9937453,8368628,9646986,10729642,9331626,9739827,9517839,3162186,7456544,10484007,2260833,5678327,5687291,8104291,5578876,5844544,9604067,10402629,8373709,6850720,2682933,6361532,10241133,10033076,6837033,3483867,7853643,7336970,3789178,3511498,10565382,5869,9232280,8653465,8176345,10750465,9884876,9772279,8076393,7272219,5790623,11391883,10738161,10993882,10189777,8972511,10787049,10429080,10277650,7079068,9807847,8822880,11074166,6619563,7451545,7366935,9601637,6282482,8150167,6298625,6137803,9212568,9752374,5602731,6959978,3048053,6124926,10922936,5560977,9258664,11284400,8953891,6848401
Quality % Read Count,85.37,89.32,91.45,92.95,92.69,90.79,91.24,90.14,89.99,89.86,89.77,86.64,89.27,89.14,90.18,90.71,89.13,91.54,88.72,92.35,88.20,88.31,90.28,79.23,88.70,88.13,89.98,89.37,90.88,91.55,81.96,91.73,90.62,85.27,90.05,91.33,90.92,89.07,87.25,90.23,90.21,88.42,87.87,89.82,77.87,92.20,91.64,89.27,90.82,89.77,89.80,89.75,90.02,89.80,89.29,92.22,90.19,91.47,89.13,90.70,91.78,91.55,90.60,88.08,90.25,92.29,89.17,91.14,90.05,93.30,89.20,92.95,88.48,91.02,90.84,89.65,89.44,86.84,86.82,88.09,91.31,92.29,91.54,90.67,91.62,87.10
UMI Range Read Count,1266973,911971,1492074,1025051,1159166,1726037,1626227,1253752,1819389,1273655,997047,789480,1131828,1822205,1554857,1731730,2201324,1631429,1567069,975954,286537,1417117,2028558,132321,742519,1038364,1573070,1107881,1034999,1790975,1441084,1034951,1288038,210214,772359,1898918,1801839,1184264,632223,1651307,1504556,664857,454700,1932243,162,1825284,1351884,962814,2199358,1456885,1941070,1237130,1279620,736557,1655296,2245486,2073458,1687899,1439730,1856716,1692355,1188369,784683,1363063,1629406,1963991,1202196,940511,1412825,769872,856601,1138443,1003764,623937,1426523,1639266,1109317,888929,460479,1144641,1499733,608522,1633675,1992103,1390892,1226014
UMI Range % Read Count,15.57,15.10,37.59,12.62,16.72,27.33,19.47,20.75,27.32,25.34,49.44,20.26,28.67,39.71,36.30,29.70,33.50,23.88,20.93,11.92,10.45,32.31,33.48,6.65,37.42,26.52,29.27,38.03,40.72,26.82,18.62,14.93,30.51,8.92,14.74,26.46,31.17,23.47,26.37,37.03,35.53,29.20,34.09,25.31,3.00,29.45,42.97,38.91,33.24,41.91,42.75,39.81,43.45,39.57,40.06,33.40,26.89,45.50,44.03,43.15,45.12,41.78,12.98,17.27,25.67,24.55,44.72,15.18,40.09,9.11,35.89,17.78,22.12,11.73,20.31,22.61,33.76,15.66,20.28,33.38,17.06,46.79,24.37,40.66,19.91,32.37
Trimmed1 Read Count,1171490,836510,1394137,912327,1054884,1612689,1521599,1152819,1696604,1190213,921721,743104,1077740,1636108,1448682,1611647,2043733,1527875,1449156,879044,262923,1347746,1898578,120984,654459,980627,1474382,1033354,952228,1678046,1362637,954512,1209698,196306,708985,1737344,1681747,1074947,599244,1544487,1408098,625429,427632,1789496,156,1697809,1191129,879332,2035166,1307204,1772890,1127201,1154286,655550,1518096,2074658,1914303,1529053,1313701,1681144,1523738,1081924,722975,1226612,1529880,1787672,1123902,874547,1304948,658008,744424,1029581,945317,568266,1313074,1531303,1045273,806131,434500,1090167,1385086,572232,1523635,1860224,1292778,1124934
Trimmed1 % Read Count,92.46,91.72,93.43,89.00,91.00,93.43,93.56,91.94,93.25,93.44,92.44,94.12,95.22,89.78,93.17,93.06,92.84,93.65,92.47,90.07,91.75,95.10,93.59,91.43,88.14,94.43,93.72,93.27,92.00,93.69,94.55,92.22,93.91,93.38,91.79,91.49,93.33,90.76,94.78,93.53,93.58,94.06,94.04,92.61,96.29,93.01,88.10,91.32,92.53,89.72,91.33,91.11,90.20,89.00,91.71,92.39,92.32,90.58,91.24,90.54,90.03,91.04,92.13,89.98,93.89,91.02,93.48,92.98,92.36,85.46,86.90,90.43,94.17,91.07,92.04,93.41,94.22,90.68,94.35,95.24,92.35,94.03,93.26,93.37,92.94,91.75
Trimmed1 Ave R1 Read Length,120.484,121.573,113.174,126.953,124.301,120.308,120.248,119.222,118.572,118.724,107.858,102.979,102.346,111.337,109.742,114.414,112.218,117.518,119.947,119.748,124.431,107.468,112.898,125.539,103.607,115.046,114.4,114.478,107.996,113.601,122.49,122.215,114.633,129.849,128.683,119.048,116.623,125.145,121.687,116.105,115.455,116.574,100.756,120.581,135.737,119.974,109.734,104.548,117.019,106.235,111.082,110.016,107.547,105.909,110.098,116.104,117.456,110.17,107.4,109.915,110.698,107.852,120.704,128.215,117.214,126.72,107.781,121.434,109.758,131.688,105.215,125.503,117.487,125.12,122.61,115.341,115.585,129.315,113.645,103.377,123.529,114.076,122.696,109.267,119.914,117.375
Trimmed3 Read Count,1038340,744984,1131423,824074,951891,1430539,1364827,986122,1486280,1022109,743064,624398,880466,1348032,1146331,1363728,1754264,1342170,1267307,779880,228648,1011455,1545491,106543,467546,832738,1263289,862967,746346,1384410,1213998,852191,1011934,177944,628749,1512905,1453309,948465,525193,1329857,1215757,510421,270415,1588671,136,1517477,924323,615617,1813372,1056204,1504043,880445,934461,495506,1282694,1845608,1709773,1263333,1054230,1416368,1292953,856427,632378,1067421,1320420,1540444,880849,777240,1056296,596192,525021,916213,829940,508979,1171452,1339531,897294,714566,354031,753549,1237602,511841,1366161,1468545,1151360,927964
Trimmed3 % Read Count,88.63,89.05,81.15,90.32,90.23,88.70,89.69,85.54,87.60,85.87,80.61,84.02,81.69,82.39,79.12,84.61,85.83,87.84,87.45,88.71,86.96,75.04,81.40,88.06,71.44,84.91,85.68,83.51,78.37,82.50,89.09,89.28,83.65,90.64,88.68,87.08,86.41,88.23,87.64,86.10,86.34,81.61,63.23,88.77,87.17,89.37,77.60,70.00,89.10,80.79,84.83,78.10,80.95,75.58,84.49,88.95,89.31,82.62,80.24,84.25,84.85,79.15,87.46,87.02,86.30,86.17,78.37,88.87,80.94,90.60,70.52,88.98,87.79,89.56,89.21,87.47,85.84,88.64,81.48,69.12,89.35,89.44,89.66,78.94,89.06,82.49
