  ,SFHH011AA,SFHH011AB,SFHH011AC,SFHH011AD,SFHH011AE,SFHH011AF,SFHH011AG,SFHH011AH,SFHH011AI,SFHH011AJ,SFHH011AK,SFHH011AL,SFHH011AM,SFHH011AN,SFHH011AO,SFHH011AP,SFHH011AQ,SFHH011AR,SFHH011A,SFHH011AS,SFHH011AT,SFHH011AU,SFHH011AV,SFHH011AW,SFHH011AX,SFHH011AY,SFHH011AZ,SFHH011BA,SFHH011BB,SFHH011BC,SFHH011BD,SFHH011BE,SFHH011BF,SFHH011BG,SFHH011BH,SFHH011BI,SFHH011BJ,SFHH011BK,SFHH011BL,SFHH011BM,SFHH011BN,SFHH011BO,SFHH011BP,SFHH011BQ,SFHH011BR,SFHH011B,SFHH011BS,SFHH011BT,SFHH011BU,SFHH011BV,SFHH011BW,SFHH011BX,SFHH011BY,SFHH011BZ,SFHH011CA,SFHH011CB,SFHH011CC,SFHH011CD,SFHH011CE,SFHH011CF,SFHH011CG,SFHH011CH,SFHH011C,SFHH011D,SFHH011E,SFHH011F,SFHH011G,SFHH011H,SFHH011I,SFHH011J,SFHH011K,SFHH011L,SFHH011M,SFHH011N,SFHH011O,SFHH011P,SFHH011Q,SFHH011R,SFHH011S,SFHH011T,SFHH011U,SFHH011V,SFHH011W,SFHH011X,SFHH011Y,SFHH011Z
Paired Raw Read Count,11511397,8142210,8180462,10296694,9285744,10078326,11635433,8846214,10630989,8434680,6764653,5826567,6660922,11148087,9279562,10634029,12037577,10977350,10193695,10305586,3584992,8443045,11611860,2853190,6401309,6452799,9006359,6242041,6430568,10490337,12690964,9128559,7559105,3146044,7063949,11212375,11034649,7675429,3992633,8703156,8133210,4285145,3996213,11761538,10013144,7536,9442823,9158809,11836641,11010127,10881452,8998492,8077809,6448144,12757684,11643282,12189073,11139889,10066191,11892853,11362719,11225832,7813336,11133909,9775006,11998553,7422754,8175180,8180839,10291039,7042762,8767420,7118568,6742820,10141183,10877259,6263754,8014479,3510553,6952847,11962381,6025225,10113465,12445268,9772474,7862151
Quality Read Count,9828162,7272839,7481788,9571478,8607405,9150188,10617113,7974826,9567053,7579781,6073057,5048265,5946820,9937453,8368628,9646986,10729642,9739827,9331626,9517839,3162186,7456544,10484007,2260833,5678327,5687291,8104291,5578876,5844544,9604067,10402629,8373709,6850720,2682933,6361532,10241133,10033076,6837033,3483867,7853643,7336970,3789178,3511498,10565382,9232280,5869,8653465,8176345,10750465,9884876,9772279,8076393,7272219,5790623,11391883,10738161,10993882,10189777,8972511,10787049,10429080,10277650,7079068,9807847,8822880,11074166,6619563,7451545,7366935,9601637,6282482,8150167,6298625,6137803,9212568,9752374,5602731,6959978,3048053,6124926,10922936,5560977,9258664,11284400,8953891,6848401
Quality % Read Count,85.37,89.32,91.45,92.95,92.69,90.79,91.24,90.14,89.99,89.86,89.77,86.64,89.27,89.14,90.18,90.71,89.13,88.72,91.54,92.35,88.20,88.31,90.28,79.23,88.70,88.13,89.98,89.37,90.88,91.55,81.96,91.73,90.62,85.27,90.05,91.33,90.92,89.07,87.25,90.23,90.21,88.42,87.87,89.82,92.20,77.87,91.64,89.27,90.82,89.77,89.80,89.75,90.02,89.80,89.29,92.22,90.19,91.47,89.13,90.70,91.78,91.55,90.60,88.08,90.25,92.29,89.17,91.14,90.05,93.30,89.20,92.95,88.48,91.02,90.84,89.65,89.44,86.84,86.82,88.09,91.31,92.29,91.54,90.67,91.62,87.10
Trimmed1 Read Count,9826816,7271937,7480871,9571296,8607190,9149875,10616090,7971705,9564266,7577368,6071779,5047783,5946549,9937253,8366810,9645130,10728264,9736345,9330653,9516789,3162038,7455646,10482616,2260759,5678232,5686653,8102911,5577248,5842888,9603424,10402294,8372870,6850097,2682844,6361490,10239854,10031190,6836946,3483823,7852917,7335961,3788426,3510325,10564825,9231143,5867,8653425,8175680,10747948,9883112,9770123,8074566,7271181,5788979,11389519,10736862,10990464,10188691,8970487,10784814,10427325,10275556,7078863,9807711,8822329,11074120,6618705,7450648,7366150,9601116,6282413,8149633,6297648,6137215,9210442,9751382,5601786,6959839,3047256,6124324,10922482,5559180,9258040,11283497,8953175,6848316
Trimmed1 % Read Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimmed1 Ave R1 Read Length,145.476,145.977,145.342,148.104,146.414,145.925,145.536,146.132,145.413,146.738,145.277,140.241,141.619,148.602,144.712,145.852,144.516,145.425,145.563,144.925,146.61,144.559,146.02,146.038,149.54,146.215,144.441,145.112,144.451,145.089,146.432,146.097,146.268,147.192,149.643,146.146,130.893,148.874,148.707,146.683,145.817,146.176,143.63,148.153,146.278,146.896,150.119,145.616,146.007,145.624,145.265,146.213,145.691,146.121,145.938,145.631,145.621,146.02,144.654,145.401,145.613,146.237,145.88,149.585,144.778,149.95,143.827,145.281,146.106,148.182,149.992,147.519,147.348,146.825,146.626,144.572,144.974,149.983,144.418,145.004,146.266,140.431,146.338,144.978,145.253,148.893
Trimmed3 Read Count,9509904,6934249,6581692,9321929,8286897,8665403,10244660,7395102,9117847,6769532,5699660,4727741,5413984,9380829,7342642,8710780,10274476,9347743,8990984,9174736,2818265,5915193,9228765,2083692,5284432,5330126,7642561,5140189,5177864,8671326,9606233,8065118,6107093,2563634,6180960,9736877,9582792,6671254,3323178,7470004,6939390,3249514,2591658,10279279,8881214,5413,8275252,6724371,10353934,9084275,9272075,7125463,6704495,5006387,10555811,10396796,10669214,9440275,8068963,10080548,9813074,9067716,6821369,9554189,8392778,10833387,5987853,7180603,6753160,9314798,5766505,7697107,5760591,5906224,8819615,9338037,5286447,6702081,2623094,4491157,10503378,5437981,8752617,9834570,8627300,6086004
Trimmed3 % Read Count,96.77,95.35,87.98,97.39,96.27,94.70,96.50,92.76,95.33,89.33,93.87,93.65,91.04,94.40,87.75,90.31,95.77,96.00,96.35,96.40,89.12,79.33,88.03,92.16,93.06,93.73,94.31,92.16,88.61,90.29,92.34,96.32,89.15,95.55,97.16,95.08,95.52,97.57,95.38,95.12,94.59,85.77,73.82,97.29,96.20,92.26,95.62,82.24,96.33,91.91,94.90,88.24,92.20,86.48,92.68,96.83,97.07,92.65,89.95,93.46,94.10,88.24,96.36,97.41,95.13,97.82,90.46,96.37,91.67,97.01,91.78,94.44,91.47,96.23,95.75,95.76,94.37,96.29,86.08,73.33,96.16,97.81,94.54,87.15,96.36,88.86
Trimmed3 Ave R1 Read Length,99.4752,102.695,107.395,113.916,112.118,107.387,99.1182,104.767,101.399,107.354,96.1651,88.4838,87.4328,104.63,99.1146,100.39,94.7216,98.6789,98.1032,104.158,107.879,111.439,102.545,94.0418,114.732,95.6353,93.7616,98.9561,95.2983,97.0234,96.0587,103.152,100.849,101.831,113.844,104.391,87.6791,108.557,101.59,100.079,99.1172,104.739,95.6329,103.942,106.619,94.37,120.037,92.2842,102.314,90.9253,95.1101,98.8977,88.6048,101.116,108.53,101.81,102.217,103.792,106.171,102.44,104.727,114.501,98.7616,111.811,97.2259,114.449,90.9238,101.028,98.4913,117.087,111.26,118.851,101.843,106.23,106.651,96.0737,101.8,118.237,96.5287,108.652,105.79,105.402,110.741,103.22,103.616,115.017
hg38 aligned Count,9509904,6934249,6581692,9321929,8286897,8665403,10244660,7395102,9117847,6769532,5699660,4727741,5413984,9380829,7342642,8710780,10274476,9347743,8990984,9174736,2818265,5915193,9228765,2083692,5284432,5330126,7642561,5140189,5177864,8671326,9606233,8065118,6107093,2563634,6180960,9736877,9582792,6671254,3323178,7470004,6939390,3249514,2591658,10279279,8881214,5413,8275252,6724371,10353934,9084275,9272075,7125463,6704495,5006387,10555811,10396796,10669214,9440275,8068963,10080548,9813074,9067716,6821369,9554189,8392778,10833387,5987853,7180603,6753160,9314798,5766505,7697107,5760591,5906224,8819615,9338037,5286447,6702081,2623094,4491157,10503378,5437981,8752617,9834570,8627300,6086004
