  ,SFHH011AA,SFHH011AB,SFHH011AC,SFHH011AD,SFHH011AE,SFHH011AF,SFHH011AG,SFHH011AH,SFHH011AI,SFHH011AJ,SFHH011AK,SFHH011AL,SFHH011AM,SFHH011AN,SFHH011AO,SFHH011AP,SFHH011AQ,SFHH011AR,SFHH011A,SFHH011AS,SFHH011AT,SFHH011AU,SFHH011AV,SFHH011AW,SFHH011AX,SFHH011AY,SFHH011AZ,SFHH011BA,SFHH011BB,SFHH011BC,SFHH011BD,SFHH011BE,SFHH011BF,SFHH011BG,SFHH011BH,SFHH011BI,SFHH011BJ,SFHH011BK,SFHH011BL,SFHH011BM,SFHH011BN,SFHH011BO,SFHH011BP,SFHH011BQ,SFHH011BR,SFHH011B,SFHH011BS,SFHH011BT,SFHH011BU,SFHH011BV,SFHH011BW,SFHH011BX,SFHH011BY,SFHH011BZ,SFHH011CA,SFHH011CB,SFHH011CC,SFHH011CD,SFHH011CE,SFHH011CF,SFHH011CG,SFHH011CH,SFHH011C,SFHH011D,SFHH011E,SFHH011F,SFHH011G,SFHH011H,SFHH011I,SFHH011J,SFHH011K,SFHH011L,SFHH011M,SFHH011N,SFHH011O,SFHH011P,SFHH011Q,SFHH011R,SFHH011S,SFHH011T,SFHH011U,SFHH011V,SFHH011W,SFHH011X,SFHH011Y,SFHH011Z
meta,IPS,AGS,Test SE,AGS,BTC,BTC,IPS,BTC,IPS,IPS,IPS,IPS,AGS,AGS,BTC,IPS,AGS,BTC,AGS,IPS,IPS,BTC,BTC,BTC,BTC,AGS,IPS,BTC,Test SE,BTC,BTC,IPS,AGS,BTC,IPS,IPS,BTC,BTC,BTC,AGS,AGS,AGS,BTC,BTC,IPS,IPS,AGS,BTC,IPS,BTC,AGS,BTC,BTC,Test SE,IPS,IPS,IPS,EXPI-PAN,EXPI-PAN,EXPI-PAN,EXPI-PAN,Test SE,IPS,AGS,BTC,IPS,BTC,AGS,Test SE,BTC,BTC,BTC,BTC,AGS,AGS,BTC,IPS,IPS,Test SE,BTC,BTC,BTC,BTC,BTC,AGS,BTC
Paired Raw Read Count,11511397,8142210,8180462,10296694,9285744,10078326,11635433,8846214,10630989,8434680,6764653,5826567,6660922,11148087,9279562,10634029,12037577,10977350,10193695,10305586,3584992,8443045,11611860,2853190,6401309,6452799,9006359,6242041,6430568,10490337,12690964,9128559,7559105,3146044,7063949,11212375,11034649,7675429,3992633,8703156,8133210,4285145,3996213,11761538,10013144,7536,9442823,9158809,11836641,11010127,10881452,8998492,8077809,6448144,12757684,11643282,12189073,11139889,10066191,11892853,11362719,11225832,7813336,11133909,9775006,11998553,7422754,8175180,8180839,10291039,7042762,8767420,7118568,6742820,10141183,10877259,6263754,8014479,3510553,6952847,11962381,6025225,10113465,12445268,9772474,7862151
Quality Read Count,9828162,7272839,7481788,9571478,8607405,9150188,10617113,7974826,9567053,7579781,6073057,5048265,5946820,9937453,8368628,9646986,10729642,9739827,9331626,9517839,3162186,7456544,10484007,2260833,5678327,5687291,8104291,5578876,5844544,9604067,10402629,8373709,6850720,2682933,6361532,10241133,10033076,6837033,3483867,7853643,7336970,3789178,3511498,10565382,9232280,5869,8653465,8176345,10750465,9884876,9772279,8076393,7272219,5790623,11391883,10738161,10993882,10189777,8972511,10787049,10429080,10277650,7079068,9807847,8822880,11074166,6619563,7451545,7366935,9601637,6282482,8150167,6298625,6137803,9212568,9752374,5602731,6959978,3048053,6124926,10922936,5560977,9258664,11284400,8953891,6848401
Trimmed1 Read Count,9826816,7271937,7480871,9571296,8607190,9149875,10616090,7971705,9564266,7577368,6071779,5047783,5946549,9937253,8366810,9645130,10728264,9736345,9330653,9516789,3162038,7455646,10482616,2260759,5678232,5686653,8102911,5577248,5842888,9603424,10402294,8372870,6850097,2682844,6361490,10239854,10031190,6836946,3483823,7852917,7335961,3788426,3510325,10564825,9231143,5867,8653425,8175680,10747948,9883112,9770123,8074566,7271181,5788979,11389519,10736862,10990464,10188691,8970487,10784814,10427325,10275556,7078863,9807711,8822329,11074120,6618705,7450648,7366150,9601116,6282413,8149633,6297648,6137215,9210442,9751382,5601786,6959839,3047256,6124324,10922482,5559180,9258040,11283497,8953175,6848316
Trimmed3 Read Count,9509904,6934249,6581692,9321929,8286897,8665403,10244660,7395102,9117847,6769532,5699660,4727741,5413984,9380829,7342642,8710780,10274476,9347743,8990984,9174736,2818265,5915193,9228765,2083692,5284432,5330126,7642561,5140189,5177864,8671326,9606233,8065118,6107093,2563634,6180960,9736877,9582792,6671254,3323178,7470004,6939390,3249514,2591658,10279279,8881214,5413,8275252,6724371,10353934,9084275,9272075,7125463,6704495,5006387,10555811,10396796,10669214,9440275,8068963,10080548,9813074,9067716,6821369,9554189,8392778,10833387,5987853,7180603,6753160,9314798,5766505,7697107,5760591,5906224,8819615,9338037,5286447,6702081,2623094,4491157,10503378,5437981,8752617,9834570,8627300,6086004
UMI all Read Count,9509904,6934249,6581692,9321929,8286897,8665403,10244660,7395102,9117847,6769532,5699660,4727741,5413984,9380829,7342642,8710780,10274476,9347743,8990984,9174736,2818265,5915193,9228765,2083692,5284432,5330126,7642561,5140189,5177864,8671326,9606233,8065118,6107093,2563634,6180960,9736877,9582792,6671254,3323178,7470004,6939390,3249514,2591658,10279279,8881214,5413,8275252,6724371,10353934,9084275,9272075,7125463,6704495,5006387,10555811,10396796,10669214,9440275,8068963,10080548,9813074,9067716,6821369,9554189,8392778,10833387,5987853,7180603,6753160,9314798,5766505,7697107,5760591,5906224,8819615,9338037,5286447,6702081,2623094,4491157,10503378,5437981,8752617,9834570,8627300,6086004
UMI 18 filter Read Count,9455688,6889684,6534446,9287357,8223014,8622043,10198137,7310045,9070257,6724831,5659484,4713498,5400014,9292661,7243044,8631515,10057659,9291560,8933544,9134202,2774724,5869971,9143596,1990999,5219827,5265893,7460679,4965321,5130422,8606789,9193937,7971831,6003518,2500089,6094840,9659701,9385320,6600395,3283168,7411176,6881202,3191058,2570712,10242076,8841389,5137,8213418,6619449,10295460,9002914,9101460,7045860,6569816,4971953,10453652,10344722,10607425,9392788,7914502,10018500,9758804,9018694,6775644,9498450,8340485,10762109,5945903,7147284,6686530,9244408,5608203,7625474,5706710,5875975,8664696,9234623,5228250,6653124,2549038,4472599,10404576,5390119,8716792,9767042,8594041,6041169
UMI 17 filter Read Count,9454514,6887732,6533152,9285881,8221085,8620593,10196853,7308340,9068600,6721879,5658409,4712923,5399255,9289335,7240333,8628745,10054015,9289342,8931562,9132670,2772812,5867922,9140856,1986935,5218223,5263095,7458328,4963353,5128663,8605213,9178346,7970192,6001431,2497687,6091938,9657739,9382349,6598759,3281416,7409631,6879404,3189398,2569740,10239879,8840224,5123,8211217,6616743,10293428,9000025,9098560,7042987,6567203,4970850,10451871,10343000,10605751,9391352,7912713,10016090,9756599,9017036,6773894,9496407,8339111,10758692,5944637,7145941,6684624,9242956,5603992,7623833,5703583,5874634,8661226,9232364,5226292,6650962,2547218,4471630,10402853,5389160,8715210,9764938,8592471,6039202
UMI 16 filter Read Count,9453502,6885657,6531727,9284439,8219720,8619215,10195380,7306816,9066887,6718807,5657193,4712260,5398309,9286405,7237793,8626018,10051402,9287010,8929667,9131078,2771003,5865555,9138076,1983032,5217039,5260688,7456749,4961997,5126992,8603599,9164363,7968859,5999575,2495801,6089264,9655901,9380118,6597438,3279887,7408162,6877631,3187903,2568591,10237443,8839016,5112,8209337,6614530,10291237,8997339,9096155,7040026,6565065,4969503,10450225,10341346,10604042,9389915,7911287,10013761,9754442,9015517,6772147,9494691,8337745,6317010,5943450,7144433,6682850,9241741,5601352,7622450,5700723,5873294,8658489,9230134,5224515,6649066,2545575,4470422,10401459,5388357,8713509,9762659,8590859,6037181
UMI 15 filter Read Count,9451307,6882462,6529351,9281979,8217752,8616707,10192456,7304343,9063670,6714109,5654953,4710815,5396519,9282015,7234214,8621846,10047540,9283031,8926645,9128137,2768855,5862138,9133811,1978084,5215128,5257356,7453996,4960013,5124357,8600717,9145906,7966431,5996938,2493412,6085460,9652521,9376624,6595229,3277760,7405305,6874557,3185915,2567021,10233413,8836603,5092,8206309,6611495,10287295,8992890,9092380,7035791,6561887,4967185,10447074,10338283,10600859,9387305,7908941,10010227,9750758,9012676,6769153,9491656,8335219,10751506,5941430,7142070,6680108,9239426,5598151,7620395,5696914,5871084,8654398,9226461,5221909,6646296,2543248,4468596,10398911,5386858,8710659,9759132,8588059,6034406
