  ,SFHH011AA,SFHH011AB,SFHH011AC,SFHH011AD,SFHH011AE,SFHH011AF,SFHH011AG,SFHH011AH,SFHH011AI,SFHH011AJ,SFHH011AK,SFHH011AL,SFHH011AM,SFHH011AN,SFHH011AO,SFHH011AP,SFHH011AQ,SFHH011AR,SFHH011A,SFHH011AS,SFHH011AT,SFHH011AU,SFHH011AV,SFHH011AW,SFHH011AX,SFHH011AY,SFHH011AZ,SFHH011BA,SFHH011BB,SFHH011BC,SFHH011BD,SFHH011BE,SFHH011BF,SFHH011BG,SFHH011BH,SFHH011BI,SFHH011BJ,SFHH011BK,SFHH011BL,SFHH011BM,SFHH011BN,SFHH011BO,SFHH011BP,SFHH011BQ,SFHH011BR,SFHH011B,SFHH011BS,SFHH011BT,SFHH011BU,SFHH011BV,SFHH011BW,SFHH011BX,SFHH011BY,SFHH011BZ,SFHH011CA,SFHH011CB,SFHH011CC,SFHH011CD,SFHH011CE,SFHH011CF,SFHH011CG,SFHH011CH,SFHH011C,SFHH011D,SFHH011E,SFHH011F,SFHH011G,SFHH011H,SFHH011I,SFHH011J,SFHH011K,SFHH011L,SFHH011M,SFHH011N,SFHH011O,SFHH011P,SFHH011Q,SFHH011R,SFHH011S,SFHH011T,SFHH011U,SFHH011V,SFHH011W,SFHH011X,SFHH011Y,SFHH011Z
meta,IPS,AGS,Test-SE,AGS,BTC,BTC,IPS,BTC,IPS,IPS,IPS,IPS,AGS,AGS,BTC,IPS,AGS,BTC,AGS,IPS,IPS,BTC,BTC,BTC,BTC,AGS,IPS,BTC,Test-SE,BTC,BTC,IPS,AGS,BTC,IPS,IPS,BTC,BTC,BTC,AGS,AGS,AGS,BTC,BTC,IPS,IPS,AGS,BTC,IPS,BTC,AGS,BTC,BTC,Test-SE,IPS,IPS,IPS,EXPI-PAN,EXPI-PAN,EXPI-PAN,EXPI-PAN,Test-SE,IPS,AGS,BTC,IPS,BTC,AGS,Test-SE,BTC,BTC,BTC,BTC,AGS,AGS,BTC,IPS,IPS,Test-SE,BTC,BTC,BTC,BTC,BTC,AGS,BTC
Paired Raw Read Count,11511397,8142210,8180462,10296694,9285744,10078326,11635433,8846214,10630989,8434680,6764653,5826567,6660922,11148087,9279562,10634029,12037577,10977350,10193695,10305586,3584992,8443045,11611860,2853190,6401309,6452799,9006359,6242041,6430568,10490337,12690964,9128559,7559105,3146044,7063949,11212375,11034649,7675429,3992633,8703156,8133210,4285145,3996213,11761538,10013144,7536,9442823,9158809,11836641,11010127,10881452,8998492,8077809,6448144,12757684,11643282,12189073,11139889,10066191,11892853,11362719,11225832,7813336,11133909,9775006,11998553,7422754,8175180,8180839,10291039,7042762,8767420,7118568,6742820,10141183,10877259,6263754,8014479,3510553,6952847,11962381,6025225,10113465,12445268,9772474,7862151
q15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q15 Format Read Count,7726080,5470912,4096813,4285707,4019834,5227214,8054373,6529383,7413135,6088681,4721060,3567359,4228753,7716023,5386526,6928025,7646800,7619950,6273767,5232628,1673738,4691921,6801649,1616480,3738101,4084731,5673118,3688120,4020905,6278445,7387353,5419201,4719723,1764443,3862183,6127400,6257781,4510636,2759463,5851588,5506994,2606751,2631750,7782055,5534173,4336,5376996,6569187,7915982,8104370,7473281,5754303,5744380,,,,,,,,,,4859815,7658712,6306898,7729047,4922658,4995177,5304566,3934259,4810499,2943609,5216925,3949987,6030839,6843133,3391654,5397831,1896650,3691120,6516284,2851361,4916321,6827577,5675143,3945127
q15 Format % Read Count,67.11,67.19,50.08,41.62,43.29,51.86,69.22,73.80,69.73,72.18,69.79,61.22,63.48,69.21,58.04,65.14,63.52,69.41,61.54,50.77,46.68,55.57,58.57,56.65,58.39,63.30,62.99,59.08,62.52,59.84,58.20,59.36,62.43,56.08,54.67,54.64,56.71,58.76,69.11,67.23,67.70,60.83,65.85,66.16,55.26,57.53,56.94,71.72,66.87,73.60,68.67,63.94,71.11,,,,,,,,,,62.19,68.78,64.52,64.41,66.31,61.10,64.84,38.22,68.30,33.57,73.28,58.58,59.46,62.91,54.14,67.35,54.02,53.08,54.47,47.32,48.61,54.86,58.07,50.17
q15 Quality Read Count,11511375,8142190,8180439,10296673,9285728,10078311,11635417,8846187,10630947,8434655,6764640,5826562,6660909,11147997,9279541,10633993,12037555,10977330,10193679,10305570,3584981,8443030,11611839,2853185,6401174,6452776,9006344,6242034,6430553,10490320,12690946,9128543,7559085,3146038,7063830,11212344,11034628,7675373,3992593,8703137,8133192,4285139,3996199,11761497,10013125,7536,9442642,9158794,11836622,11010112,10881436,8998478,8077797,,,,,,,,,,7813323,11133736,9774994,11998401,7422744,8175157,8180806,10291014,7042627,8767388,7118548,6742812,10141153,10877233,6263740,8014370,3510546,6952829,11962353,6025212,10113446,12445227,9772460,7862023
q15 Quality % Read Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q15 Quality Ave R1 Read Length,135.112,136.231,133.871,138.322,138.648,136.014,135.644,136.521,135.649,137.348,131.75,120.987,122.339,132.673,131.173,135.147,127.981,136.059,134.052,134.803,135.832,127.331,133.37,133.739,137.608,129.835,132.38,134.072,131.745,131.517,135.155,136.921,134.048,138.65,137.915,135.954,136.111,136.243,131.929,134.093,134.485,132.784,124.641,132.697,137.1,135.917,138.888,128.253,135.847,131.255,131.796,132.759,129.913,,,,,,,,,,135.129,138.727,134.218,140.645,128.63,136.055,129.699,142.702,138.154,141.041,134.699,138.245,138.7,132.981,134.253,142.341,130.292,121.982,138.182,138.633,137.662,131.453,135.414,132.725
q15 adapter Trim Read Count,11510050,8141499,8179549,10296488,9285519,10078005,11634490,8843137,10628335,8432519,6763876,5826304,6660722,11147821,9277983,10632277,12036196,10973827,10192722,10304503,3584823,8442156,11610677,2853102,6401094,6452360,9005030,6240458,6429250,10489711,12690587,9127702,7558485,3145954,7063788,11211096,11032751,7675288,3992566,8702442,8132214,4284464,3995518,11760932,10011979,7534,9442599,9158099,11834079,11008323,10879249,8996610,8076737,,,,,,,,,,7813113,11133594,9774443,11998350,7422095,8174251,8180126,10290484,7042559,8766849,7117562,6742237,10138981,10876261,6262858,8014227,3509765,6952473,11961903,6023852,10112838,12444431,9771748,7861949
q15 adapter Trim % Read Count,99.98,99.99,99.98,99.99,99.99,99.99,99.99,99.96,99.97,99.97,99.98,99.99,99.99,99.99,99.98,99.98,99.98,99.96,99.99,99.98,99.99,99.98,99.98,99.99,99.99,99.99,99.98,99.97,99.97,99.99,99.99,99.99,99.99,99.99,99.99,99.98,99.98,99.99,99.99,99.99,99.98,99.98,99.98,99.99,99.98,99.97,99.99,99.99,99.97,99.98,99.97,99.97,99.98,,,,,,,,,,99.99,99.99,99.99,99.99,99.99,99.98,99.99,99.99,99.99,99.99,99.98,99.99,99.97,99.99,99.98,99.99,99.97,99.99,99.99,99.97,99.99,99.99,99.99,99.99
