  ,1_10,1_11,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_10,2_2,2_3,2_4,2_5,2_6,2_7,2_9,3_1,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_10,4_1,4_2,4_4,4_5,4_6,4_7,4_8,4_9,5_10,5_1,5_2,5_4,5_6,5_7,5_8,5_9,6_1,6_2,7_2,7_3,7_4,7_5,7_6,7_7,8_1,8_3,8_4
Study,serum control-SE,blank-PBS,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,serum control-SE,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,serum control-SE,blank-PBS,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,serum control-SE,serum control-SE,CSF Liquid biopsy protocol-SE,CSF Liquid biopsy protocol-PL,CSF Liquid biopsy protocol-PL,CSF Liquid biopsy protocol-PL,CSF Liquid biopsy protocol-CSF,CSF Liquid biopsy protocol-SE,CSF Liquid biopsy protocol-CSF,CSF Liquid biopsy protocol-CSF,serum control-SE,Diaz paired CSF-EDTA Plasma,Diaz paired CSF-CSF Supernatant (fractionation),Diaz paired CSF-D+28 Plasma,Kirkwood Cyst Study-SE,serum control-SE,blank-PBS,Diaz paired CSF-CSF Fractionation/CSF Supernatant,serum control-SE,blank-PBS
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Paired Raw R1 Read Count,8168077,9248023,8957927,8145864,6688682,7390115,7067654,7949929,8441837,7468879,7446158,7387476,8608402,8109333,8845035,8027690,7760206,11386448,7367080,8848322,5958441,8136236,8930313,8356879,7446317,9114447,8517201,9616765,10114640,10874455,7881251,10701790,9640514,9637073,11803102,8926898,8523021,7897574,7674726,7791654,7953211,8190662,7872750,9362926,7829851,7675220,7595058,9420902,7636224,10316696,6926675,6968473,7321086,7840329,7963175
Format R1 Read Count,3798132,7603824,4112239,3198507,3132848,2443825,3109367,3962971,4348438,3955857,3492766,3505559,6436902,6007215,7017190,5999892,5692801,6773368,5333875,2948795,2338229,2779888,3361181,3222526,3097441,5056116,3798643,8057037,8356990,8625390,6392472,7706663,4635024,6387455,9265178,3774496,2602001,2832532,4520590,2409913,4087248,5018292,2754572,7820120,6101557,2073070,6192164,3669546,4044216,6329171,4133680,3922077,4861483,2006168,6561544
Format % Read Count,46.49,82.22,45.90,39.26,46.83,33.06,43.99,49.84,51.51,52.96,46.90,47.45,74.77,74.07,79.33,74.73,73.35,59.48,72.40,33.32,39.24,34.16,37.63,38.56,41.59,55.47,44.59,83.78,82.62,79.31,81.10,72.01,48.07,66.28,78.49,42.28,30.52,35.86,58.90,30.92,51.39,61.26,34.98,83.52,77.92,27.00,81.52,38.95,52.96,61.34,59.67,56.28,66.40,25.58,82.39
Trimmed R1 Read Count,2542533,2897665,1626372,2364413,1973327,1836429,2292738,2299450,2860961,2752766,2268881,2591727,3667872,4645478,4034467,3815392,3990074,4413840,3488048,1844893,1535371,1866138,2158841,2361388,2326009,2705850,2566821,3717922,6020220,6127290,4437565,5361562,2949839,4338363,6893966,2767359,1857341,2192860,2205558,1857218,2411900,2642136,1956175,3336689,768870,785970,1960660,2030068,1845896,4410850,2678232,1179343,1270616,1085159,1585111
Trimmed % R1 Read Count,66.94,38.10,39.54,73.92,62.98,75.14,73.73,58.02,65.79,69.58,64.95,73.93,56.98,77.33,57.49,63.59,70.08,65.16,65.39,62.56,65.66,67.12,64.22,73.27,75.09,53.51,67.57,46.14,72.03,71.03,69.41,69.57,63.64,67.92,74.40,73.31,71.38,77.41,48.78,77.06,59.01,52.65,71.01,42.66,12.60,37.91,31.66,55.32,45.64,69.69,64.79,30.06,26.13,54.09,24.15
Trimmed Ave R1 Read Length,97.5715,83.1247,77.6899,89.6009,92.06,91.2781,92.5634,87.3012,95.6852,92.156,92.5435,96.8381,94.2129,103.342,89.5451,100.055,98.3039,51.2282,97.4872,100.035,101.839,96.2225,92.5488,94.6606,98.0836,93.4797,94.8665,91.9514,88.0061,80.2298,62.176,72.672,93.7041,93.4143,73.3122,97.503,97.4643,92.7502,90.1063,91.9523,96.0313,92.2831,96.6084,87.03,79.5206,88.3996,76.4456,95.2432,83.665,87.1071,84.0458,76.6535,94.3333,86.5766,79.962
Trimmed Ave R2 Read Length,89.6086,87.8562,88.9016,89.8376,90.0233,89.9001,90.1139,89.1058,90.0182,89.0793,90.3453,87.1171,88.1079,88.6872,86.2263,88.8931,88.3927,83.9776,88.5117,91.6346,90.6452,89.6905,90.5617,90.3033,90.9844,87.9196,88.3784,87.1537,85.8681,87.3059,84.0252,86.0524,89.8713,89.2774,85.3608,88.387,88.9217,89.559,88.6727,89.8265,88.7317,87.8928,90.7621,86.1485,87.8236,91.9011,87.6723,89.7165,88.8882,88.0434,86.8288,87.6815,88.4024,90.7435,88.1596
hg38 aligned Count,1426487,69108,655967,1302256,1206352,1078127,1349133,1165465,1640100,1529944,1361353,1198585,1596406,2623327,1502221,1794692,2016771,528970,1653311,1066597,906729,1003737,1201678,1401790,1446856,896468,1346039,54838,467240,2408758,679343,1205836,1553384,2209236,2514961,1420757,914259,1295974,755814,1116843,1025879,686180,1160862,80551,105744,423799,402159,1064989,674042,2412722,1343903,26674,414474,594422,30216
