  ,1_10,1_11,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_10,2_2,2_3,2_4,2_5,2_6,2_7,2_9,3_1,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_10,4_1,4_2,4_4,4_5,4_6,4_7,4_8,4_9,5_10,5_1,5_2,5_4,5_6,5_7,5_8,5_9,6_1,6_2,7_2,7_3,7_4,7_5,7_6,7_7,8_1,8_3,8_4
Study,serum control-SE,blank-PBS,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,serum control-SE,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,Kirkwood Cyst Study-SE,serum control-SE,blank-PBS,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,Kirkwood Cyst Study-cyst fluid,serum control-SE,serum control-SE,CSF Liquid biopsy protocol-SE,CSF Liquid biopsy protocol-PL,CSF Liquid biopsy protocol-PL,CSF Liquid biopsy protocol-PL,CSF Liquid biopsy protocol-CSF,CSF Liquid biopsy protocol-SE,CSF Liquid biopsy protocol-CSF,CSF Liquid biopsy protocol-CSF,serum control-SE,Diaz paired CSF-EDTA Plasma,Diaz paired CSF-CSF Supernatant (fractionation),Diaz paired CSF-D+28 Plasma,Kirkwood Cyst Study-SE,serum control-SE,blank-PBS,Diaz paired CSF-CSF Fractionation/CSF Supernatant,serum control-SE,blank-PBS
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Paired Raw R1 Read Count,8168077,9248023,8957927,8145864,6688682,7390115,7067654,7949929,8441837,7468879,7446158,7387476,8608402,8109333,8845035,8027690,7760206,11386448,7367080,8848322,5958441,8136236,8930313,8356879,7446317,9114447,8517201,9616765,10114640,10874455,7881251,10701790,9640514,9637073,11803102,8926898,8523021,7897574,7674726,7791654,7953211,8190662,7872750,9362926,7829851,7675220,7595058,9420902,7636224,10316696,6926675,6968473,7321086,7840329,7963175
hg38 unaligned Count,3609947,5726023,2574998,3384706,2697925,2558468,3189650,3396244,4026835,3925920,3129301,3943322,5682841,6572681,6511735,5773483,5893150,8286054,5263357,2585810,2133236,2696166,3075827,3273689,3155585,4486676,3742795,7380407,11562351,9764607,8191516,9482789,4291660,6385837,11169619,4065978,2769417,3044078,3630016,2557669,3763005,4574059,2712002,6591769,1428529,1133275,3505633,2957672,2994860,6329084,3966357,2331987,2112745,1555274,3139455
hg38 unaligned Count,3609947,5726023,2574998,3384706,2697925,2558468,3189650,3396244,4026835,3925920,3129301,3943322,5682841,6572681,6511735,5773483,5893150,8286054,5263357,2585810,2133236,2696166,3075827,3273689,3155585,4486676,3742795,7380407,11562351,9764607,8191516,9482789,4291660,6385837,11169619,4065978,2769417,3044078,3630016,2557669,3763005,4574059,2712002,6591769,1428529,1133275,3505633,2957672,2994860,6329084,3966357,2331987,2112745,1555274,3139455
RMHM viral aligned Count,81754,308494,112082,62699,63284,49222,60181,135243,101792,86655,79724,83000,205491,155736,179722,148151,131934,1246080,121264,52954,40780,55044,77653,64048,60817,127132,78281,179490,425187,892615,1152882,1064353,117734,170759,392325,75432,54364,56793,107817,50463,92087,113087,54377,206752,58801,24339,138633,59436,116192,167617,104846,125270,56984,34121,118400
RMHM viral q20 l20 aligned Count,1345,1628,927,1425,1179,1203,1257,1363,1555,1600,1191,1438,2392,2310,2208,1929,2242,10625,1642,992,814,1083,1159,1240,1154,1387,1369,1585,5591,5949,8108,7046,1483,2820,4415,1737,1109,1076,1268,857,1251,1388,987,1893,777,462,886,1149,1327,2633,1579,617,925,668,1037
RMHM viral q20 l30 aligned Count,7,126,10,,,,2,7,6,4,2,10,25,1,19,22,8,,16,8,2,6,1,7,6,52,5,84,,1,,6,17,7,4,9,4,2,77,3,45,47,3,157,11,7,39,17,271,20,19,65,28,2,80
RMHM viral q20 l40 aligned Count,6,107,9,,,,2,2,6,4,1,8,24,1,17,18,7,,15,6,2,3,1,6,6,38,5,80,,1,,4,13,6,,9,2,1,63,3,30,43,3,128,7,3,25,9,239,12,11,61,27,1,59
RMHM viral q20 l50 aligned Count,4,42,7,,,,2,2,4,3,,8,24,1,16,16,6,,14,3,1,3,1,4,5,16,2,45,,1,,4,7,3,,6,2,1,26,2,9,35,2,55,2,,5,4,220,7,8,33,21,1,34
