study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA507500	SAMN10496923	SRX5076848	SRR8259412	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259412/SRR8259412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259412/SRR8259412_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259412	patient_80_SERUM_rep1	
PRJNA507500	SAMN10496669	SRX5076844	SRR8259416	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259416/SRR8259416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259416/SRR8259416_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/006/SRR8259416	patient_04_CSF_rep1	
PRJNA507500	SAMN10496678	SRX5076835	SRR8259425	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259425/SRR8259425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259425/SRR8259425_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259425	patient_06_SERUM_rep2	
PRJNA507500	SAMN10496779	SRX5076827	SRR8259433	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259433/SRR8259433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259433/SRR8259433_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/003/SRR8259433	patient_33_CSF_rep1	
PRJNA507500	SAMN10496921	SRX5076826	SRR8259434	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259434/SRR8259434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259434/SRR8259434_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/004/SRR8259434	patient_79_SERUM_rep1	
PRJNA507500	SAMN10496733	SRX5076822	SRR8259438	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259438/SRR8259438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259438/SRR8259438_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/008/SRR8259438	patient_20_SERUM_rep1	
PRJNA507500	SAMN10496756	SRX5076821	SRR8259439	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259439/SRR8259439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259439/SRR8259439_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/009/SRR8259439	patient_26_SERUM_rep2	
PRJNA507500	SAMN10496788	SRX5076820	SRR8259440	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259440/SRR8259440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259440/SRR8259440_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/000/SRR8259440	patient_35_CSF_rep2	
PRJNA507500	SAMN10496848	SRX5076818	SRR8259442	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259442/SRR8259442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259442/SRR8259442_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259442	patient_50_SERUM_rep2	
PRJNA507500	SAMN10496846	SRX5076808	SRR8259452	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259452/SRR8259452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259452/SRR8259452_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259452	patient_50_CSF_rep2	
