study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA685111	SAMN17076466	SRX9706860	SRR13277042	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/042/SRR13277042/SRR13277042.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/042/SRR13277042	sample_output_QBB_4_TR1	
PRJNA685111	SAMN17076463	SRX9706857	SRR13277045	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/045/SRR13277045/SRR13277045.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/045/SRR13277045	sample_output_QBB_2_TR2	
PRJNA685111	SAMN17076474	SRX9706850	SRR13277052	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/052/SRR13277052/SRR13277052.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/052/SRR13277052	sample_output_QBB_8_TR1	
PRJNA685111	SAMN17076473	SRX9706849	SRR13277053	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/053/SRR13277053/SRR13277053.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/053/SRR13277053	sample_output_QBB_7_TR2	
PRJNA685111	SAMN17076472	SRX9706848	SRR13277054	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/054/SRR13277054/SRR13277054.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/054/SRR13277054	sample_output_QBB_7_TR1	
PRJNA685111	SAMN17076467	SRX9706861	SRR13277041	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/041/SRR13277041/SRR13277041.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/041/SRR13277041	sample_output_QBB_4_TR2	
PRJNA685111	SAMN17076464	SRX9706858	SRR13277044	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/044/SRR13277044/SRR13277044.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/044/SRR13277044	sample_output_QBB_3_TR1	
PRJNA685111	SAMN17076479	SRX9706855	SRR13277047	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/047/SRR13277047/SRR13277047.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/047/SRR13277047	sample_output_QBB_10_TR2	
PRJNA685111	SAMN17076470	SRX9706846	SRR13277056	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/056/SRR13277056/SRR13277056.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/056/SRR13277056	sample_output_QBB_6_TR1	
PRJNA685111	SAMN17076469	SRX9706863	SRR13277039	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/039/SRR13277039/SRR13277039.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/039/SRR13277039	sample_output_QBB_5_TR2	
