accession,description,length,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,RM vsl-25 missed Ns,RM vsl-25 missed Ns %
AC_000005.1,Human mastadenovirus A  complete genome,34125,208,.60,50,.14,258,.75,50,.14
AC_000007.1,Human adenovirus 2  complete genome,35937,321,.89,150,.41,371,1.03,50,.13
AC_000017.1,Human adenovirus type 1  complete genome,36001,354,.98,150,.41,404,1.12,50,.13
AC_000018.1,Human adenovirus type 7  complete genome,35514,199,.56,100,.28,249,.70,50,.14
AC_000019.1,Human adenovirus type 35  complete genome,34794,274,.78,50,.14,324,.93,50,.14
NC_000898.1,Human herpesvirus 6B  complete genome,162114,2543,1.56,2250,1.38,2868,1.76,325,.20
NC_001352.1,Human papillomavirus - 2  complete genome,7860,105,1.33,50,.63,155,1.97,50,.63
NC_001357.1,Human papillomavirus - 18  complete genome,7857,55,.70,50,.63,105,1.33,50,.63
NC_001405.1,Human adenovirus C  complete genome,35937,321,.89,150,.41,371,1.03,50,.13
NC_001460.1,Human adenovirus A  complete genome,34125,208,.60,50,.14,258,.75,50,.14
NC_001587.1,Human papillomavirus type 34  complete genome,7723,180,2.33,175,2.26,230,2.97,50,.64
NC_001593.1,Human papillomavirus type 53  complete genome,7856,194,2.46,50,.63,244,3.10,50,.63
NC_001664.4,Human betaherpesvirus 6A  variant A DNA  complete virion genome  isolate U1102,159378,3249,2.03,2275,1.42,3724,2.33,475,.29
NC_001716.2,Human herpesvirus 7  complete genome,153080,2519,1.64,9825,6.41,10944,7.14,8425,5.50
NC_001798.2,Human herpesvirus 2 strain HG52  complete genome,154675,5884,3.80,2375,1.53,6909,4.46,1025,.66
NC_001806.2,Human herpesvirus 1 strain 17  complete genome,152222,4143,2.72,1875,1.23,5093,3.34,950,.62
NC_006273.2,Human herpesvirus 5 strain Merlin  complete genome,235646,3141,1.33,650,.27,3191,1.35,50,.02
NC_006577.2,Human coronavirus HKU1  complete genome,29926,215,.71,50,.16,265,.88,50,.16
NC_007605.1,Human gammaherpesvirus 4  complete genome,171823,1139,.66,800,.46,1864,1.08,725,.42
NC_009333.1,Human herpesvirus 8 strain GK18  complete genome,137969,357,.25,575,.41,882,.63,525,.38
NC_009334.1,Human herpesvirus 4  complete genome,172764,1365,.79,475,.27,1840,1.06,475,.27
NC_011203.1,Human adenovirus B1  complete genome,35343,166,.46,100,.28,216,.61,50,.14
NC_020890.1,Human polyomavirus 12 strain hu1403  complete genome,5033,32,.63,50,.99,82,1.62,50,.99
NC_028459.1,Human associated gemyvongvirus 1 isolate DB1  complete genome,2272,43,1.89,100,4.40,93,4.09,50,2.20
NC_038524.1,Human papillomavirus type 175 isolate SE87  complete genome,7226,21,.29,75,1.03,96,1.32,75,1.03
NC_038889.1,Human papillomavirus type 30 genomic DNA,7852,181,2.30,50,.63,231,2.94,50,.63
