AC_000005.1	Human_mastadenovirus_A,_complete_genome
AC_000007.1	Human_adenovirus_2,_complete_genome
AC_000017.1	Human_adenovirus_type_1,_complete_genome
AC_000018.1	Human_adenovirus_type_7,_complete_genome
AC_000019.1	Human_adenovirus_type_35,_complete_genome
NC_000898.1	Human_herpesvirus_6B,_complete_genome
NC_001352.1	Human_papillomavirus_-_2,_complete_genome
NC_001357.1	Human_papillomavirus_-_18,_complete_genome
NC_001405.1	Human_adenovirus_C,_complete_genome
NC_001460.1	Human_adenovirus_A,_complete_genome
NC_001587.1	Human_papillomavirus_type_34,_complete_genome
NC_001593.1	Human_papillomavirus_type_53,_complete_genome
NC_001664.4	Human_betaherpesvirus_6A,_variant_A_DNA,_complete_virion_genome,_isolate_U1102
NC_001716.2	Human_herpesvirus_7,_complete_genome
NC_001798.2	Human_herpesvirus_2_strain_HG52,_complete_genome
NC_001806.2	Human_herpesvirus_1_strain_17,_complete_genome
NC_006273.2	Human_herpesvirus_5_strain_Merlin,_complete_genome
NC_006577.2	Human_coronavirus_HKU1,_complete_genome
NC_007605.1	Human_gammaherpesvirus_4,_complete_genome
NC_009333.1	Human_herpesvirus_8_strain_GK18,_complete_genome
NC_009334.1	Human_herpesvirus_4,_complete_genome
NC_011203.1	Human_adenovirus_B1,_complete_genome
NC_020890.1	Human_polyomavirus_12_strain_hu1403,_complete_genome
NC_028459.1	Human_associated_gemyvongvirus_1_isolate_DB1,_complete_genome
NC_038524.1	Human_papillomavirus_type_175_isolate_SE87,_complete_genome
NC_038889.1	Human_papillomavirus_type_30_genomic_DNA
NC_001348.1_Human_herpesvirus_3,_complete_genome
