accession,description,length,raw Ns,raw Ns %,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,RM vsl-25 missed Ns,RM vsl-25 missed Ns %
AC_000001.1,Ovine adenovirus A  complete genome,33034,0,0,38,.11,49,.14,87,.26,49,.14
AC_000002.1,Bovine adenovirus B  complete genome,34446,0,0,155,.44,246,.71,253,.73,98,.28
AC_000003.1,Canine adenovirus 1  complete genome,30536,0,0,41,.13,0,0,41,.13,0,0
AC_000004.1,Duck adenovirus A  complete genome,33213,0,0,47,.14,0,0,47,.14,0,0
AC_000005.1,Human mastadenovirus A  complete genome,34125,0,0,208,.60,49,.14,257,.75,49,.14
AC_000006.1,Human adenovirus D  complete genome,35100,0,0,502,1.43,1,0,502,1.43,0,0
AC_000007.1,Human adenovirus 2  complete genome,35937,0,0,321,.89,147,.40,370,1.02,49,.13
AC_000008.1,Human adenovirus 5  complete genome,35938,0,0,342,.95,0,0,342,.95,0,0
AC_000009.1,Porcine adenovirus C  complete genome,32621,0,0,50,.15,49,.15,50,.15,0,0
AC_000010.1,Simian adenovirus 21  complete genome,35524,0,0,432,1.21,49,.13,481,1.35,49,.13
AC_000011.1,Simian adenovirus 25  complete genome,36519,0,0,442,1.21,98,.26,491,1.34,49,.13
AC_000012.1,Murine adenovirus A  complete genome,30944,0,0,86,.27,49,.15,135,.43,49,.15
AC_000013.1,Fowl adenovirus D  complete genome,45063,0,0,495,1.09,74,.16,495,1.09,0,0
AC_000014.1,Fowl adenovirus A  complete genome,43804,0,0,323,.73,49,.11,323,.73,0,0
AC_000016.1,Turkey adenovirus A  complete genome,26263,0,0,193,.73,0,0,193,.73,0,0
AC_000017.1,Human adenovirus type 1  complete genome,36001,0,0,354,.98,147,.40,403,1.11,49,.13
AC_000018.1,Human adenovirus type 7  complete genome,35514,0,0,199,.56,98,.27,248,.69,49,.13
AC_000019.1,Human adenovirus type 35  complete genome,34794,0,0,274,.78,49,.14,323,.92,49,.14
AC_000020.1,Canine adenovirus type 2  complete genome,31323,0,0,30,.09,49,.15,79,.25,49,.15
AC_000189.1,Porcine adenovirus 3  complete genome,34094,0,0,1164,3.41,245,.71,1164,3.41,0,0
AC_000190.1,Tree shrew adenovirus 1  complete genome,33501,0,0,0,0,0,0,0,0,0,0
AC_000191.1,Bovine adenovirus A  complete genome,34185,0,0,56,.16,0,0,56,.16,0,0
AC_000192.1,Murine hepatitis virus strain JHM  complete genome,31526,0,0,45,.14,74,.23,119,.37,74,.23
NC_000117.1,Chlamydia trachomatis D UW-3 CX chromosome  complete genome,1042519,0,0,4939,.47,809,.07,5601,.53,662,.06
NC_000852.5,Paramecium bursaria Chlorella virus 1  complete genome,330611,0,0,3874,1.17,883,.26,4217,1.27,343,.10
NC_000855.1,Viral hemorrhagic septicemia virus Fil3  complete genome,11158,0,0,0,0,0,0,0,0,0,0
NC_000858.1,Simian T-lymphotropic virus 1  complete genome,9028,0,0,239,2.64,0,0,239,2.64,0,0
NC_000866.4,Enterobacteria phage T4  complete genome,168903,0,0,747,.44,147,.08,894,.52,147,.08
NC_000867.1,Pseudoalteromonas phage PM2  complete genome,10079,0,0,0,0,0,0,0,0,0,0
NC_000871.1,Streptococcus phage Sfi19  complete genome,37370,0,0,347,.92,98,.26,347,.92,0,0
NC_000872.1,Streptococcus phage Sfi21  complete genome,40739,0,0,142,.34,49,.12,142,.34,0,0
NC_000874.1,Sugarcane yellow leaf virus complete genome,5899,0,0,50,.84,0,0,50,.84,0,0
NC_000875.1,Anopheles quadrimaculatus A mitochondrion  complete genome,15455,0,0,714,4.61,915,5.92,1530,9.89,816,5.27
NC_000882.1,Pepper leaf curl virus  complete genome,2744,0,0,0,0,0,0,0,0,0,0
NC_000883.2,Human parvovirus B19  complete genome,5596,0,0,0,0,0,0,0,0,0,0
NC_000884.1,Cavia porcellus mitochondrion  complete genome,16801,0,0,208,1.23,2889,17.19,3017,17.95,2809,16.71
NC_000885.1,Tomato chlorotic dwarf viroid  complete genome,360,0,0,0,0,0,0,0,0,0,0
NC_000896.1,Lactobacillus prophage phiadh  complete genome,43785,0,0,0,0,221,.50,0,0,0,0
NC_000898.1,Human herpesvirus 6B  complete genome,162114,0,0,2543,1.56,2238,1.38,2863,1.76,320,.19
NC_000899.1,Fowl adenovirus D  complete genome,45063,0,0,495,1.09,74,.16,495,1.09,0,0
NC_000902.1,Enterobacteria phage VT2-Sakai  complete genome,60942,0,0,157,.25,49,.08,206,.33,49,.08
NC_000903.1,Snakehead rhabdovirus complete genome,11550,0,0,0,0,0,0,0,0,0,0
NC_000924.1,Enterobacteria phage 933W  complete genome,61670,0,0,157,.25,98,.15,255,.41,98,.15
NC_000929.1,Enterobacteria phage Mu  complete genome,36717,0,0,37,.10,0,0,37,.10,0,0
NC_000932.1,Arabidopsis thaliana chloroplast  complete genome,154478,0,0,6321,4.09,1474,.95,6762,4.37,441,.28
NC_000935.1,Acyrthosiphon pisum bacteriophage APSE-1  complete genome,36524,0,0,52,.14,0,0,52,.14,0,0
NC_000936.1,Periplaneta fuliginosa densovirus  complete genome,5454,0,0,116,2.12,98,1.79,116,2.12,0,0
NC_000940.1,Porcine enteric sapovirus  complete genome,7320,0,0,0,0,0,0,0,0,0,0
NC_000942.1,Murine adenovirus A  complete genome,30944,0,0,86,.27,49,.15,135,.43,49,.15
NC_000943.1,Murray Valley encephalitis virus  complete genome,11014,0,0,0,0,0,0,0,0,0,0
NC_000947.1,Japanese yam mosaic virus  complete genome,9760,0,0,40,.40,0,0,40,.40,0,0
NC_000960.1,Cryphonectria hypovirus 3  complete genome,9799,0,0,0,0,0,0,0,0,0,0
NC_000962.3,Mycobacterium tuberculosis H37Rv  complete genome,4411532,0,0,33970,.77,1938,.04,35344,.80,1374,.03
NC_000964.3,Bacillus subtilis subsp. subtilis str. 168 complete genome,4215606,0,0,20608,.48,1765,.04,22127,.52,1519,.03
NC_001132.2,Myxoma virus  complete genome,161773,0,0,298,.18,49,.03,298,.18,0,0
NC_001266.1,Rabbit fibroma virus  complete genome,159857,0,0,959,.59,543,.33,1008,.63,49,.03
NC_001270.2,Spiroplasma phage SVTS2  complete genome,6825,0,0,144,2.10,98,1.43,242,3.54,98,1.43
NC_001271.1,Yersinia phage phiYeO3-12  complete genome,39600,0,0,0,0,0,0,0,0,0,0
NC_001276.1,Crassostrea gigas mitochondrion  complete genome,18224,0,0,82,.44,196,1.07,278,1.52,196,1.07
NC_001278.1,Diaporthe ambigua RNA virus 1  complete genome,4113,0,0,0,0,0,0,0,0,0,0
NC_001317.1,Escherichia phage 186  complete genome,30624,0,0,78,.25,0,0,78,.25,0,0
NC_001319.1,Marchantia paleacea chloroplast  complete genome,121024,0,0,7398,6.11,3123,2.58,8673,7.16,1275,1.05
NC_001324.2,Paramecium aurelia mitochondrial complete genome,40469,0,0,1308,3.23,613,1.51,1602,3.95,294,.72
NC_001326.1,Schizosaccharomyces pombe mitochondrion  complete genome,19431,0,0,667,3.43,49,.25,716,3.68,49,.25
NC_001330.1,Enterobacteria phage alpha3  complete genome,6087,0,0,0,0,0,0,0,0,0,0
NC_001331.1,Pseudomonas phage Pf1  complete genome,7349,0,0,103,1.40,0,0,103,1.40,0,0
NC_001332.1,Enterobacteria phage I2-2  complete genome,6744,0,0,0,0,0,0,0,0,0,0
NC_001335.1,Mycobacterium phage L5 complete genome,52297,0,0,404,.77,0,0,404,.77,0,0
NC_001339.1,Artichoke mottled crinkle virus  complete genome,4789,0,0,42,.87,1,.02,42,.87,0,0
NC_001340.1,Apple scar skin viroid  complete genome,329,0,0,0,0,0,0,0,0,0,0
NC_001341.1,Acholeplasma phage MV-L1  complete genome,4491,0,0,54,1.20,0,0,54,1.20,0,0
NC_001343.1,Commelina yellow mottle virus  complete genome,7489,0,0,36,.48,0,0,36,.48,0,0
NC_001344.1,Duck hepatitis B virus  complete genome,3027,0,0,0,0,0,0,0,0,0,0
NC_001346.2,Maize streak virus - A[Ama]  complete genome,2689,0,0,24,.89,0,0,24,.89,0,0
NC_001348.1,Human herpesvirus 3  complete genome,124884,0,0,401,.32,295,.23,401,.32,0,0
NC_001350.1,Saimiriine herpesvirus 2 complete genome,112930,0,0,727,.64,518,.45,1242,1.09,515,.45
NC_001351.1,Hop stunt viroid  complete genome,302,0,0,0,0,0,0,0,0,0,0
NC_001352.1,Human papillomavirus - 2  complete genome,7860,0,0,105,1.33,49,.62,154,1.95,49,.62
NC_001354.1,Human papillomavirus type 41  complete genome,7614,0,0,34,.44,0,0,34,.44,0,0
NC_001355.1,Human papillomavirus type 6b  complete genome,7902,0,0,110,1.39,74,.93,110,1.39,0,0
NC_001356.1,Human papillomavirus - 1  complete genome,7815,0,0,115,1.47,49,.62,115,1.47,0,0
NC_001357.1,Human papillomavirus - 18  complete genome,7857,0,0,55,.70,49,.62,104,1.32,49,.62
NC_001361.2,Potato virus M  complete genome,8533,0,0,0,0,0,0,0,0,0,0
NC_001362.1,Friend murine leukemia virus FB29 complete genome,8323,0,0,2970,35.68,0,0,2970,35.68,0,0
NC_001364.1,Simian foamy virus  complete genome,13246,0,0,66,.49,0,0,66,.49,0,0
NC_001365.1,Spiroplasma phage 1-R8A2B  complete genome,8273,0,0,186,2.24,98,1.18,284,3.43,98,1.18
NC_001366.1,Theilovirus  complete genome,8101,0,0,0,0,0,0,0,0,0,0
NC_001367.1,Tobacco mosaic virus  complete genome,6395,0,0,62,.96,0,0,62,.96,0,0
NC_001396.1,Xanthomonas phage Cf1c  complete genome,7308,0,0,0,0,0,0,0,0,0,0
NC_001401.2,Adeno-associated virus - 2  complete genome,4679,0,0,149,3.18,0,0,149,3.18,0,0
NC_001402.1,Avian carcinoma virus  complete genome,2630,0,0,141,5.36,245,9.31,386,14.67,245,9.31
NC_001403.1,Fujinami sarcoma virus  complete genome,4788,0,0,82,1.71,245,5.11,327,6.82,245,5.11
NC_001405.1,Human adenovirus C  complete genome,35937,0,0,321,.89,147,.40,370,1.02,49,.13
NC_001407.1,Rous sarcoma virus  complete genome,9392,0,0,573,6.10,271,2.88,844,8.98,271,2.88
NC_001408.1,Avian leukosis virus - RSA  complete genome,7286,0,0,573,7.86,0,0,573,7.86,0,0
NC_001409.1,Apple chlorotic leaf spot virus  complete genome,7555,0,0,0,0,0,0,0,0,0,0
NC_001410.1,Avocado sunblotch viroid  complete genome,247,0,0,0,0,0,0,0,0,0,0
NC_001411.2,Black beetle virus  complete genome,3106,0,0,0,0,0,0,0,0,0,0
NC_001412.1,Beet curly top virus - California [Logan]  complete genome,2994,0,0,0,0,50,1.67,0,0,0,0
NC_001414.1,Bovine leukemia virus  complete genome,8419,0,0,0,0,0,0,0,0,0,0
NC_001416.1,Enterobacteria phage lambda  complete genome,48502,0,0,97,.19,0,0,97,.19,0,0
NC_001418.1,Pseudomonas phage Pf3  complete genome,5833,0,0,43,.73,0,0,43,.73,0,0
NC_001421.2,Enterobacteria phage PRD1  complete genome,14927,0,0,206,1.38,49,.32,206,1.38,0,0
NC_001422.1,Coliphage phi-X174  complete genome,5386,0,0,34,.63,0,0,34,.63,0,0
NC_001423.1,Bacteriophage PZA (from B.subtilis)  complete genome,19366,0,0,36,.18,0,0,36,.18,0,0
NC_001426.1,Enterobacteria phage GA  complete genome,3466,0,0,0,0,0,0,0,0,0,0
NC_001427.1,Chicken anemia virus  complete genome,2319,0,0,0,0,0,0,0,0,0,0
NC_001430.1,Human enterovirus D  complete genome,7390,0,0,0,0,0,0,0,0,0,0
NC_001434.1,Hepatitis E virus  complete genome,7176,0,0,0,0,0,0,0,0,0,0
NC_001436.1,Human T-lymphotropic virus 1  complete genome,8507,0,0,272,3.19,0,0,272,3.19,0,0
NC_001441.1,Narcissus mosaic virus  complete genome,6955,0,0,0,0,0,0,0,0,0,0
NC_001442.1,Bovine polyomavirus  complete genome,4697,0,0,51,1.08,0,0,51,1.08,0,0
NC_001445.1,Plum pox virus  complete genome,9741,0,0,0,0,49,.50,0,0,0,0
NC_001447.1,Acholeplasma phage L2  complete genome,11965,0,0,0,0,49,.40,0,0,0,0
NC_001449.1,Venezuelan equine encephalitis virus  complete genome,11444,0,0,31,.27,98,.85,80,.69,49,.42
NC_001450.1,Equine infectious anemia virus  complete genome,8359,0,0,99,1.18,0,0,99,1.18,0,0
NC_001451.1,Avian infectious bronchitis virus  complete genome,27608,0,0,153,.55,0,0,153,.55,0,0
NC_001452.1,Visna Maedi virus strain kv1772  complete genome,9202,0,0,0,0,0,0,0,0,0,0
NC_001454.1,Human adenovirus F  complete genome,34214,0,0,108,.31,49,.14,108,.31,0,0
NC_001457.1,Human papillomavirus type 4  complete genome,7353,0,0,52,.70,74,1.00,52,.70,0,0
NC_001458.1,Human papillomavirus type 63  complete genome,7348,0,0,88,1.19,0,0,88,1.19,0,0
NC_001460.1,Human adenovirus A  complete genome,34125,0,0,208,.60,49,.14,257,.75,49,.14
NC_001461.1,Bovine viral diarrhea virus 1  complete genome,12573,0,0,0,0,249,1.98,0,0,0,0
NC_001462.1,Coconut cadang-cadang viroid  complete genome,246,0,0,0,0,0,0,0,0,0,0
NC_001463.1,Caprine arthritis-encephalitis virus  complete genome,9189,0,0,215,2.33,98,1.06,215,2.33,0,0
NC_001464.1,Citrus exocortis viroid  complete genome,371,0,0,0,0,0,0,0,0,0,0
NC_001466.1,Chloris striate mosaic virus  complete genome,2750,0,0,0,0,0,0,0,0,0,0
NC_001469.1,Cucumber necrosis virus  complete genome,4701,0,0,0,0,2,.04,0,0,0,0
NC_001471.1,Coconut tinangaja viroid  complete genome,254,0,0,0,0,0,0,0,0,0,0
NC_001472.1,Human enterovirus B  complete genome,7389,0,0,0,0,0,0,0,0,0,0
NC_001474.2,Dengue virus 2  complete genome,10723,0,0,29,.27,0,0,29,.27,0,0
NC_001475.2,Dengue virus 3  complete genome,10707,0,0,55,.51,0,0,55,.51,0,0
NC_001477.1,Dengue virus 1  complete genome,10735,0,0,0,0,0,0,0,0,0,0
NC_001478.1,Digitaria streak virus  complete genome,2701,0,0,0,0,0,0,0,0,0,0
NC_001479.1,Encephalomyocarditis virus  complete genome,7835,0,0,132,1.68,149,1.90,132,1.68,0,0
NC_001480.1,Eggplant mosaic virus  complete genome,6331,0,0,67,1.05,0,0,67,1.05,0,0
NC_001481.2,Feline calicivirus  complete genome,7683,0,0,110,1.43,0,0,110,1.43,0,0
NC_001482.1,Feline immunodeficiency virus complete genome,9474,0,0,152,1.60,49,.51,152,1.60,0,0
NC_001483.1,Foxtail mosaic virus  complete genome,6151,0,0,0,0,0,0,0,0,0,0
NC_001484.1,Ground squirrel hepatitis virus  complete genome,3311,0,0,0,0,0,0,0,0,0,0
NC_001486.1,Heron hepatitis B virus  complete genome,3027,0,0,0,0,0,0,0,0,0,0
NC_001489.1,Hepatitis A virus  complete genome,7478,0,0,34,.45,0,0,34,.45,0,0
NC_001490.1,Human rhinovirus 14  complete genome,7212,0,0,0,0,0,0,0,0,0,0
NC_001491.2,Equid herpesvirus 1  complete genome,150224,0,0,1181,.78,322,.21,1181,.78,0,0
NC_001492.1,Cryphonectria hypovirus 1  complete genome,12734,0,0,32,.25,33,.25,32,.25,0,0
NC_001493.2,Ictalurid herpesvirus 1 strain Auburn 1  complete genome,134226,0,0,1158,.86,964,.71,1207,.89,49,.03
NC_001494.1,Jaagsiekte sheep retrovirus  complete genome,7462,0,0,1944,26.05,147,1.96,1944,26.05,0,0
NC_001497.2,Cauliflower mosaic virus  complete genome,8024,0,0,88,1.09,0,0,88,1.09,0,0
NC_001498.1,Measles virus  complete genome,15894,0,0,73,.45,0,0,73,.45,0,0
NC_001499.1,Abelson murine leukemia virus  complete genome,5894,0,0,0,0,840,14.25,0,0,0,0
NC_001500.1,Spleen focus-forming virus  complete genome,6296,0,0,1471,23.36,98,1.55,1471,23.36,0,0
NC_001501.1,Moloney murine leukemia virus  complete genome,8332,0,0,3215,38.58,0,0,3215,38.58,0,0
NC_001502.1,Moloney murine sarcoma virus  complete genome,5833,0,0,1522,26.09,123,2.10,1645,28.20,123,2.10
NC_001503.1,Mouse mammary tumor virus  complete genome,8805,0,0,1695,19.25,0,0,1695,19.25,0,0
NC_001505.2,Murine pneumotropic virus  complete genome,4754,0,0,63,1.32,49,1.03,112,2.35,49,1.03
NC_001506.1,Murine osteosarcoma virus  complete genome,3811,0,0,91,2.38,445,11.67,509,13.35,418,10.96
NC_001510.1,Minute virus of mice  complete genome,5149,0,0,33,.64,0,0,33,.64,0,0
NC_001511.1,Ovine lentivirus  complete genome,9256,0,0,166,1.79,74,.79,166,1.79,0,0
NC_001512.1,O'nyong-nyong virus  complete genome,11835,0,0,0,0,0,0,0,0,0,0
NC_001513.1,Ononis yellow mosaic virus  complete genome,6211,0,0,0,0,0,0,0,0,0,0
NC_001514.1,Squirrel monkey retrovirus - HLB  complete genome,8785,0,0,2350,26.75,0,0,2350,26.75,0,0
NC_001515.2,Murine polyomavirus strain BG  complete genome,5307,0,0,19,.35,0,0,19,.35,0,0
NC_001517.1,Pepper mottle virus  complete genome,9640,0,0,39,.40,0,0,39,.40,0,0
NC_001522.1,Bovine papillomavirus - 1  complete genome,7945,0,0,22,.27,1,.01,22,.27,0,0
NC_001523.1,Deer papillomavirus  complete genome,8374,0,0,86,1.02,49,.58,135,1.61,49,.58
NC_001524.1,European elk papillomavirus  complete genome,8095,0,0,0,0,0,0,0,0,0,0
NC_001526.4,Human papillomavirus type 16  complete genome,7906,0,0,258,3.26,74,.93,258,3.26,0,0
NC_001531.1,Human papillomoavirus type 5  complete genome,7746,0,0,228,2.94,49,.63,228,2.94,0,0
NC_001538.1,BK polyomavirus  complete genome,5153,0,0,0,0,0,0,0,0,0,0
NC_001539.1,Canine parvovirus  complete genome,5323,0,0,64,1.20,0,0,64,1.20,0,0
NC_001540.1,Bovine parvovirus  complete genome,5517,0,0,71,1.28,0,0,71,1.28,0,0
NC_001541.1,Cottontail rabbit papillomavirus  complete genome,7868,0,0,0,0,0,0,0,0,0,0
NC_001542.1,Rabies virus  complete genome,11932,0,0,0,0,0,0,0,0,0,0
NC_001543.1,Rabbit hemorrhagic disease virus-FRG  complete genome,7437,0,0,45,.60,0,0,45,.60,0,0
NC_001544.1,Ross River virus  complete genome,11657,0,0,159,1.36,55,.47,159,1.36,0,0
NC_001545.2,Rubella virus  complete genome,9762,0,0,83,.85,0,0,83,.85,0,0
NC_001546.1,Arabis mosaic virus small satellite RNA  complete genome,300,0,0,0,0,0,0,0,0,0,0
NC_001547.1,Sindbis virus  complete genome,11703,0,0,40,.34,0,0,40,.34,0,0
NC_001549.1,Simian immunodeficiency virus  complete genome,9623,0,0,0,0,0,0,0,0,0,0
NC_001550.1,Mason-Pfizer monkey virus  complete genome,8557,0,0,3582,41.86,123,1.43,3582,41.86,0,0
NC_001553.1,Tomato apical stunt viroid  complete genome,360,0,0,0,0,0,0,0,0,0,0
NC_001554.1,Tomato bushy stunt virus  complete genome,4776,0,0,0,0,1,.02,0,0,0,0
NC_001555.1,Tobacco etch virus  complete genome,9494,0,0,0,0,0,0,0,0,0,0
NC_001556.1,Tobacco mild green mosaic virus  complete genome,6355,0,0,82,1.29,0,0,82,1.29,0,0
NC_001557.1,Tobacco necrosis satellite virus  complete genome,1239,0,0,0,0,0,0,0,0,0,0
