accession,description,length,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,c1-25 Ns,c1-25 Ns %,masked c1-25 Ns,masked c1-25 Ns %,c2-25 Ns,c2-25 Ns %,masked c2-25 Ns,masked c2-25 Ns %,c3-25 Ns,c3-25 Ns %,masked c3-25 Ns,masked c3-25 Ns %,c4-25 Ns,c4-25 Ns %,masked c4-25 Ns,masked c4-25 Ns %,c5-25 Ns,c5-25 Ns %,masked c5-25 Ns,masked c5-25 Ns %,c6-25 Ns,c6-25 Ns %,masked c6-25 Ns,masked c6-25 Ns %,c7-25 Ns,c7-25 Ns %,masked c7-25 Ns,masked c7-25 Ns %,c8-25 Ns,c8-25 Ns %,masked c8-25 Ns,masked c8-25 Ns %,c9-25 Ns,c9-25 Ns %,masked c9-25 Ns,masked c9-25 Ns %,c10-25 Ns,c10-25 Ns %,masked c10-25 Ns,masked c10-25 Ns %,c11-25 Ns,c11-25 Ns %,masked c11-25 Ns,masked c11-25 Ns %,c12-25 Ns,c12-25 Ns %,masked c12-25 Ns,masked c12-25 Ns %
AC_000192.1,Murine hepatitis virus strain JHM  complete genome,31526,45,.14,98,.31,143,.45,589,1.86,634,2.01,196,.62,241,.76,245,.77,290,.91,0,0,45,.14,98,.31,143,.45,0,0,45,.14,49,.15,94,.29,540,1.71,585,1.85,0,0,45,.14,98,.31,143,.45,98,.31,143,.45,490,1.55,535,1.69
NC_000898.1,Human herpesvirus 6B  complete genome,162114,2543,1.56,2238,1.38,2863,1.76,5851,3.60,5957,3.67,2972,1.83,3673,2.26,2621,1.61,3698,2.28,1638,1.01,2789,1.72,2238,1.38,2863,1.76,1319,.81,2543,1.56,1466,.90,2690,1.65,5875,3.62,6055,3.73,1495,.92,2543,1.56,2263,1.39,2888,1.78,2190,1.35,2914,1.79,4121,2.54,5147,3.17
NC_001344.1,Duck hepatitis B virus  complete genome,3027,0,0,0,0,0,0,123,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_001348.1,Human herpesvirus 3  complete genome,124884,401,.32,295,.23,401,.32,1178,.94,1284,1.02,540,.43,744,.59,490,.39,744,.59,196,.15,450,.36,295,.23,401,.32,49,.03,450,.36,147,.11,548,.43,1153,.92,1259,1.00,49,.03,401,.32,295,.23,401,.32,295,.23,401,.32,882,.70,1234,.98
NC_001352.1,Human papillomavirus - 2  complete genome,7860,105,1.33,49,.62,154,1.95,172,2.18,277,3.52,49,.62,154,1.95,49,.62,154,1.95,0,0,105,1.33,49,.62,154,1.95,0,0,105,1.33,0,0,105,1.33,172,2.18,277,3.52,0,0,105,1.33,49,.62,154,1.95,49,.62,154,1.95,0,0,105,1.33
NC_001354.1,Human papillomavirus type 41  complete genome,7614,34,.44,0,0,34,.44,49,.64,83,1.09,0,0,34,.44,0,0,34,.44,0,0,34,.44,0,0,34,.44,0,0,34,.44,0,0,34,.44,49,.64,83,1.09,0,0,34,.44,0,0,34,.44,0,0,34,.44,49,.64,83,1.09
NC_001355.1,Human papillomavirus type 6b  complete genome,7902,110,1.39,74,.93,110,1.39,246,3.11,257,3.25,0,0,110,1.39,0,0,110,1.39,0,0,110,1.39,49,.62,110,1.39,0,0,110,1.39,0,0,110,1.39,296,3.74,257,3.25,0,0,110,1.39,74,.93,110,1.39,74,.93,110,1.39,147,1.86,208,2.63
NC_001356.1,Human papillomavirus - 1  complete genome,7815,115,1.47,49,.62,115,1.47,270,3.45,311,3.97,0,0,115,1.47,0,0,115,1.47,0,0,115,1.47,0,0,115,1.47,0,0,115,1.47,0,0,115,1.47,221,2.82,262,3.35,0,0,115,1.47,49,.62,115,1.47,49,.62,115,1.47,98,1.25,164,2.09
NC_001357.1,Human papillomavirus - 18  complete genome,7857,55,.70,49,.62,104,1.32,319,4.06,374,4.76,172,2.18,227,2.88,147,1.87,202,2.57,0,0,55,.70,49,.62,104,1.32,0,0,55,.70,0,0,55,.70,368,4.68,423,5.38,0,0,55,.70,49,.62,104,1.32,49,.62,104,1.32,49,.62,104,1.32
NC_001422.1,Coliphage phi-X174  complete genome,5386,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63,0,0,34,.63
